data,setmana_epidemiologica,any,codi_regio,nom_regio,codi_ambit,nom_ambit,codi_abs,nom_abs,diagnostic,sexe,grup_edat,index_socioeconomic,casos,poblacio
2011-10-04,40,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,20 a 24,2,1,163
2011-12-11,49,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Dona,25 a 29,2,1,216
2011-10-11,41,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,3 i 4,2,1,123
2011-12-16,50,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,1 i 2,2,1,138
2011-12-14,50,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,1 i 2,2,1,110
2011-11-29,48,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,70 a 74,2,1,72
2011-11-29,48,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Home,70 a 74,2,1,72
2011-10-24,43,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,65 a 69,2,1,105
2011-11-29,48,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Grip,Dona,25 a 29,2,1,216
2011-10-30,43,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,25 a 29,2,1,216
2011-12-31,52,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Pneumònia,Home,35 a 39,2,1,339
2011-11-17,46,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,1 i 2,2,2,138
2011-10-31,44,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,55 a 59,2,1,198
2011-12-01,48,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,20 a 24,2,1,179
2011-10-04,40,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Dona,45 a 49,2,1,294
2011-10-03,40,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,1 i 2,2,2,138
2011-12-12,50,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Faringoamigdalitis,Dona,45 a 49,2,1,294
2011-12-29,52,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,20 a 24,2,1,163
2011-11-14,46,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Dona,60 a 64,2,1,136
2011-12-02,48,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Grip,Home,20 a 24,2,1,163
2011-10-17,42,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Pneumònia,Home,35 a 39,2,1,339
2011-11-16,46,2011,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,373,Begues,Altres IRA,Home,35 a 39,2,1,339
