codi_regio,nom_regio,codi_abs,nom_abs
0,No disponible,0,No disponible
61,Lleida,1,Agramunt
61,Lleida,2,Alcarràs
61,Lleida,3,Alfarràs - Almenar
61,Lleida,12,Artesa de Segre
61,Lleida,14,Balaguer
61,Lleida,81,Bellpuig
61,Lleida,86,Les Borges Blanques
61,Lleida,106,Cervera - la Segarra
61,Lleida,129,La Granadella
61,Lleida,135,Lleida - 1 Centre Històric - Rambla de Ferran
61,Lleida,136,Lleida - 2 Ronda - Mariola
61,Lleida,137,Lleida - 3 Eixample
61,Lleida,138,Lleida - 4 Balàfia - Pardinyes
61,Lleida,139,Lleida - 5 Cappont
61,Lleida,140,Lleida - 6 Bordeta - Magraners
61,Lleida,141,Lleida rural - 1 Nord
61,Lleida,161,Pla d'Urgell
61,Lleida,181,Ponts
61,Lleida,232,Seròs
61,Lleida,245,Tàrrega
61,Lleida,329,Lleida rural - 2 Sud
61,Lleida,334,Almacelles
61,Lleida,379,Lleida - 7 Onze de Setembre
61,Lleida,408,Guissona - La Segarra
62,Camp de Tarragona,87,Les Borges del Camp
62,Camp de Tarragona,91,Cambrils
62,Camp de Tarragona,107,Constantí
62,Camp de Tarragona,112,Cornudella de Montsant
62,Camp de Tarragona,118,Falset
62,Camp de Tarragona,162,Montblanc
62,Camp de Tarragona,163,Mont-roig del Camp
62,Camp de Tarragona,166,El Morell
62,Camp de Tarragona,188,Riudoms
62,Camp de Tarragona,239,Tarragona - 1
62,Camp de Tarragona,240,Tarragona - 2
62,Camp de Tarragona,241,Tarragona - 3
62,Camp de Tarragona,242,Tarragona - 4
62,Camp de Tarragona,243,Tarragona - 5
62,Camp de Tarragona,244,Tarragona - 6
62,Camp de Tarragona,257,Torredembarra
62,Camp de Tarragona,262,Alt Camp Est
62,Camp de Tarragona,263,Valls urbà
62,Camp de Tarragona,303,Reus - 1
62,Camp de Tarragona,304,Reus - 2
62,Camp de Tarragona,305,Reus - 3
62,Camp de Tarragona,306,Reus - 4
62,Camp de Tarragona,307,Reus - 5
62,Camp de Tarragona,324,Vandellòs i l'Hospitalet de l'Infant
62,Camp de Tarragona,333,Alt Camp Oest
62,Camp de Tarragona,339,Salou
62,Camp de Tarragona,340,Vila-seca
62,Camp de Tarragona,352,Tarragona - 7
62,Camp de Tarragona,354,La Selva del Camp
62,Camp de Tarragona,364,Tarragona - 8
63,Terres de l'Ebre,4,Amposta
63,Terres de l'Ebre,113,Deltebre
63,Terres de l'Ebre,120,Flix
63,Terres de l'Ebre,165,Móra la Nova - Móra d'Ebre
63,Terres de l'Ebre,178,L'Ametlla de Mar - El Perelló
63,Terres de l'Ebre,206,La Ràpita - Alcanar
63,Terres de l'Ebre,246,Terra Alta
63,Terres de l'Ebre,255,Tortosa - 1 Est
63,Terres de l'Ebre,256,Tortosa - 2 Oest
63,Terres de l'Ebre,260,Ulldecona
63,Terres de l'Ebre,328,L'Aldea - Camarles - l'Ampolla
64,Girona,5,Anglès
64,Girona,8,Arbúcies - Sant Hilari
64,Girona,15,Banyoles
64,Girona,80,Bàscara
64,Girona,83,Besalú
64,Girona,84,La Bisbal d'Empordà
64,Girona,85,Blanes
64,Girona,90,Calella
64,Girona,92,Camprodon
64,Girona,93,Canet de Mar
64,Girona,100,Cassà de la Selva
64,Girona,101,Celrà
64,Girona,114,L'Escala
64,Girona,119,Figueres
64,Girona,124,Girona - 1
64,Girona,125,Girona - 2
64,Girona,126,Girona - 3
64,Girona,127,Girona - 4
64,Girona,133,La Jonquera
64,Girona,134,Llançà
64,Girona,142,Lloret de Mar
64,Girona,143,Malgrat de Mar
64,Girona,171,Olot
64,Girona,172,Palafrugell
64,Girona,173,Palamós
64,Girona,177,Peralada
64,Girona,187,Ripoll - Sant Joan de les Abadesses
64,Girona,189,Roses
64,Girona,199,Salt
64,Girona,208,Sant Feliu de Guíxols
64,Girona,221,Santa Coloma de Farners
64,Girona,231,Sarrià de Ter
64,Girona,234,Sils - Vidreres - Maçanet de la Selva
64,Girona,258,Torroella de Montgrí
