date;no;no2;nox;o3
2012-01-01;12,63;44,79;61,92;12,71
2012-01-02;6,75;37,79;45,33;26,25
2012-01-03;10,46;51,42;65,38;17,25
2012-01-04;8,96;36,54;47,13;24,21
2012-01-05;10,33;39,17;51,71;28,54
2012-01-06;8,17;36,08;45,54;35,43
2012-01-07;11,96;46,88;63,0;19,75
2012-01-08;8,5;33,25;42,17;26,04
2012-01-09;51,54;60,17;138,08;8,04
2012-01-10;54,17;67,79;149,88;6,04
2012-01-11;67,21;67,46;169,38;7,79
2012-01-12;76,55;73,73;190,0;8,3
2012-01-13;73,08;73,92;185,42;3,96
2012-01-14;22,79;47,96;80,63;12,75
2012-01-15;10,96;45,5;59,46;18,38
2012-01-16;14,29;47,0;65,33;29,21
2012-01-17;15,42;46,88;67,5;38,5
2012-01-18;55,96;66,75;151,13;9,79
2012-01-19;43,67;61,79;127,5;10,75
2012-01-20;57,5;62,58;149,04;9,46
2012-01-21;37,33;58,75;114,63;12,79
2012-01-22;26,42;42,17;79,83;20,71
2012-01-23;38,71;54,46;111,96;9,71
2012-01-24;31,68;56,91;105,0;8,17
2012-01-25;60,46;67,46;159,21;6,17
2012-01-26;60,92;61,63;153,79;12,33
2012-01-27;17,13;48,42;72,13;17,33
2012-01-28;17,08;43,13;68,17;7,42
2012-01-29;7,17;29,79;37,96;32,75
2012-01-30;20,63;54,88;85,17;15,08
2012-01-31;14,67;47,67;68,33;20,13
2012-02-01;59,54;52,58;141,83;17,08
2012-02-02;16,17;46,46;69,0;16,08
2012-02-03;6,08;35,75;42,42;33,58
2012-02-04;4,67;24,5;27,75;61,46
2012-02-05;10,29;47,96;61,25;29,67
2012-02-06;33,21;55,71;104,88;24,58
2012-02-07;5,75;35,17;40,46;53,5
2012-02-08;6,81;49,76;56,57;36,7
2012-02-09;7,88;39,71;47,13;38,63
2012-02-10;7,54;45,38;52,92;36,75
2012-02-11;4,42;27,5;28,63;57,08
2012-02-12;3,5;31,29;30,96;51,29
2012-02-13;18,79;62,08;87,58;31,04
2012-02-14;10,54;50,71;62,71;32,83
2012-02-15;19,13;53,21;80,46;24,21
2012-02-16;18,92;53,96;79,63;28,13
2012-02-17;12,54;53,25;69,0;26,58
2012-02-18;18,5;49,17;74,96;28,63
2012-02-19;7,42;42,83;49,71;30,71
2012-02-20;7,75;38,04;45,46;41,33
2012-02-21;12,54;47,25;62,92;39,83
2012-02-22;38,79;77,75;135,75;18,25
2012-02-23;29,81;79,9;122,76;18,14
2012-02-24;48,17;70,63;141,96;19,5
2012-02-25;38,04;;127,29;21,04
2012-02-26;33,75;70,04;119,54;20,42
2012-02-27;5,29;50,29;54,13;30,17
2012-02-28;22,75;46,08;76,42;34,08
2012-02-29;37,38;71,0;126,08;21,63
2012-03-01;55,33;79,58;163,0;17,21
2012-03-02;29,75;64,38;106,92;32,83
