date;co;no;no2;nox;o3;pm10;pm2.5;so2
2012-01-01;0,55;48,5;61,25;135,0;11,04;21,54;;2,54
2012-01-02;0,5;28,13;51,83;94,5;20,08;24,88;;1,29
2012-01-03;0,62;41,0;63,91;126,09;13,38;20,87;;1,08
2012-01-04;1,0;61,91;58,27;152,64;11,73;26,71;;1,65
2012-01-05;0,67;54,58;49,04;132,0;23,83;29,96;;1,21
2012-01-06;0,37;26,71;49,21;89,67;24,42;28,67;;1,04
2012-01-07;0,57;55,08;53,67;137,54;16,92;30,63;;1,38
2012-01-08;0,55;34,04;40,54;92,0;19,83;18,52;;1,17
2012-01-09;0,8;85,42;64,54;194,71;7,67;26,75;;2,71
2012-01-10;0,97;127,21;69,92;264,04;5,92;36,79;;4,25
2012-01-11;1,3;141,13;83,75;299,21;3,25;42,46;;4,88
2012-01-12;0,67;46,42;67,88;138,54;10,25;29,04;;1,0
2012-01-13;0,51;35,79;55,54;110,08;9,25;23,75;;1,0
2012-01-14;0,68;69,33;64,46;170,04;8,75;30,42;;1,25
2012-01-15;0,66;36,0;57,54;112,17;14,88;27,63;;1,04
2012-01-16;0,81;49,9;77,9;153,62;13,14;27,75;;2,0
2012-01-17;0,87;53,0;76,71;157,38;23,29;27,21;;1,08
2012-01-18;0,73;57,5;75,71;163,13;9,38;34,82;;1,67
2012-01-19;0,67;46,58;66,96;137,88;10,71;31,42;;1,25
2012-01-20;0,88;84,38;77,29;205,96;10,38;36,54;;2,75
2012-01-21;0,63;56,75;71,42;157,83;12,58;26,5;;1,33
2012-01-22;0,54;38,08;55,0;112,88;16,5;20,96;;1,29
2012-01-23;0,87;80,25;71,42;193,42;11,54;29,63;;4,13
2012-01-24;0,65;51,17;68,08;145,79;8,42;26,0;;1,17
2012-01-25;0,66;55,14;72,48;156,24;10,19;29,95;;1,48
2012-01-26;1,35;148,33;111,13;337,5;5,42;47,63;;5,71
2012-01-27;1,02;82,71;91,63;217,63;9,88;34,17;;1,04
2012-01-28;0,57;51,04;63,0;140,54;6,17;25,58;;1,5
2012-01-29;0,34;23,96;48,46;84,75;24,29;12,29;;1,08
2012-01-30;0,39;35,16;60,26;113,68;14,5;20,0;;1,3
2012-01-31;0,71;60,21;64,13;155,83;15,79;27,33;;1,29
2012-02-01;0,87;94,83;88,08;232,88;5,88;27,08;;1,25
2012-02-02;0,75;60,46;65,79;157,92;10,25;27,26;;1,0
2012-02-03;0,5;33,21;55,88;106,21;20,58;31,61;;1,0
2012-02-04;0,3;26,29;49,96;89,75;39,58;17,79;;1,29
2012-02-05;0,37;25,08;53,92;91,96;30,63;18,13;;1,21
2012-02-06;0,83;88,71;79,42;214,58;16,5;27,17;;2,67
2012-02-07;0,57;42,25;69,63;134,08;29,63;21,92;;1,04
2012-02-08;0,58;39,33;64,13;123,75;25,58;26,58;;1,25
2012-02-09;0,59;21,83;47,67;80,46;27,13;30,17;;1,29
2012-02-10;0,61;36,17;62,21;117,04;24,84;39,04;;1,42
2012-02-11;0,43;26,63;52,42;92,67;36,86;24,58;;1,21
2012-02-12;0,41;21,5;50,04;82,38;38,06;21,88;;1,54
2012-02-13;0,64;48,42;74,88;148,33;28,5;27,42;;1,58
2012-02-14;0,71;44,32;75,32;142,91;21,5;25,42;;1,0
2012-02-15;0,67;39,29;66,33;126,21;20,42;23,5;;1,13
2012-02-16;0,68;41,92;73,96;137,71;19,79;26,88;;1,29
2012-02-17;0,83;56,58;79,63;165,58;17,33;37,09;;1,46
