date;co;no;no2;nox;o3;pm10;so2
2012-01-01;0,48;49,5;64,71;140,42;11,5;;1,75
2012-01-02;0,35;19,71;42,58;72,67;28,0;;1,13
2012-01-03;0,5;38,63;63,42;122,5;18,63;;3,67
2012-01-04;0,62;72,96;70,29;179,63;14,83;;3,75
2012-01-05;0,51;45,29;54,08;123,17;27,63;;1,92
2012-01-06;0,36;16,71;47,13;72,38;30,54;;4,63
2012-01-07;0,43;25,54;52,21;91,21;22,67;;3,25
2012-01-08;0,4;20,17;41,33;71,96;24,79;;2,54
2012-01-09;0,96;105,91;86,86;248,91;6,91;;6,5
2012-01-10;1,01;108,38;92,08;257,63;1,36;;8,04
2012-01-11;0,91;85,42;84,71;215,5;;;5,5
2012-01-12;0,68;50,33;74,42;151,33;;;5,92
2012-01-13;1,19;159,83;107,5;351,33;;;8,33
2012-01-14;0,6;57,08;65,38;152,58;;;1,33
2012-01-15;0,45;21,13;50,67;82,79;;;1,04
2012-01-16;0,48;33,29;58,25;109,25;;;2,46
2012-01-17;0,6;43,29;66,17;132,29;;;2,42
2012-01-18;0,8;69,13;75,33;180,96;;;5,13
2012-01-19;0,7;67,68;71,32;174,77;7,33;;4,55
2012-01-20;0,86;82,79;76,29;202,75;9,75;;5,17
2012-01-21;0,66;62,88;75,0;171,08;9,17;;1,67
2012-01-22;0,47;36,04;48,92;104,13;19,75;;2,0
2012-01-23;0,93;82,29;78,88;204,25;8,67;;6,58
2012-01-24;0,62;56,29;67,83;153,63;11,0;;1,96
2012-01-25;1,02;108,21;91,38;256,83;8,67;;5,79
2012-01-26;0,9;98,13;92,21;241,79;7,5;;2,63
2012-01-27;0,57;44,33;66,67;134,08;16,75;;2,25
2012-01-28;0,49;43,5;57,63;124,08;7,0;;1,25
2012-01-29;0,37;18,67;49,38;77,92;24,38;;2,54
2012-01-30;0,59;63,38;73,25;168,5;16,79;;5,0
2012-01-31;0,55;59,55;67,59;157,91;16,68;;4,22
2012-02-01;0,62;66,71;72,88;174,92;11,08;;2,96
2012-02-02;0,51;53,67;63,79;145,83;12,54;;3,04
2012-02-03;0,52;68,83;61,75;165,83;22,25;;6,38
2012-02-04;0,34;16,63;41,75;67,17;46,38;;3,17
2012-02-05;0,36;15,71;46,0;70,0;36,83;;4,58
2012-02-06;0,68;79,13;79,54;199,79;20,75;;6,08
2012-02-07;0,54;42,42;71,17;136,0;31,42;;5,83
2012-02-08;0,47;27,58;60,92;103,08;31,46;;3,83
2012-02-09;0,61;40,88;58,29;120,71;28,29;;5,0
2012-02-10;0,65;43,13;72,13;137,83;24,04;;6,33
2012-02-11;0,44;23,58;50,58;86,5;40,43;;2,04
2012-02-12;0,38;14,54;44,08;66,08;43,38;;4,46
2012-02-13;0,62;44,67;77,0;145,13;27,92;;5,79
2012-02-14;0,69;57,13;80,17;167,29;22,04;;4,25
2012-02-15;0,58;46,71;72,58;143,96;17,88;;2,92
2012-02-16;0,72;48,36;77,5;151,41;20,18;;5,59
2012-02-17;0,69;50,08;76,33;152,92;19,04;;4,25
2012-02-18;0,48;33,0;66,63;117,0;25,0;;4,25
2012-02-19;0,45;20,29;57,46;88,38;28,25;;2,46
2012-02-20;0,6;38,29;64,46;123,0;26,17;;4,21
2012-02-21;0,68;53,04;77,13;158,08;26,5;;5,46
2012-02-22;0,9;78,63;104,38;224,54;14,0;;7,71
2012-02-23;0,94;93,46;105,42;248,29;18,71;;5,25
2012-02-24;1,23;151,21;118,17;349,33;10,17;;9,21
2012-02-25;0,91;98,29;104,54;254,79;13,63;;6,0
2012-02-26;0,91;83,33;102,79;230,13;16,88;;5,83
2012-02-27;0,59;27,71;63,5;106,0;27,96;;4,21
2012-02-28;0,73;48,38;81,25;155,0;20,38;;6,42
2012-02-29;1,07;95,77;109,59;256,0;9,32;;8,82
2012-03-01;1,25;152,83;124,42;357,75;13,5;;6,13
2012-03-02;0,87;176,04;142,71;410,04;19,54;;7,75
2012-03-03;0,55;47,79;75,33;148,17;41,58;;4,33
2012-03-04;0,57;55,67;74,79;159,58;22,17;;3,67
2012-03-05;0,49;50,77;55,91;132,36;42,83;;4,08
2012-03-06;0,56;83,25;72,0;198,46;41,29;;7,79
2012-03-07;0,68;95,42;88,29;233,29;33,75;;8,79
2012-03-08;0,65;98,58;91,46;240,71;33,17;;5,0
2012-03-09;0,56;54,32;68,41;151,14;35,46;;5,25
2012-03-10;0,48;59,04;73,58;163,33;43,67;;4,79
2012-03-11;0,6;49,29;74,04;149,21;32,13;;4,67
2012-03-12;0,95;144,75;116,46;337,29;13,38;;11,79
2012-03-13;1,0;106,88;104,08;267,54;13,38;;5,17
2012-03-14;1,07;95,46;100,0;245,96;23,96;;3,29
2012-03-15;0,91;70,04;98,88;205,63;20,33;;1,67
2012-03-16;0,82;70,58;82,63;190,5;28,25;;5,92
2012-03-17;0,47;60,5;73,71;165,79;48,0;;5,33
2012-03-18;0,31;7,38;27,71;38,83;64,42;;2,0
2012-03-19;0,5;55,27;58,59;142,95;46,32;;5,45
2012-03-20;0,38;17,75;35,38;62,38;52,13;;2,08
2012-03-21;0,35;11,42;31,42;48,63;58,46;;1,71
2012-03-22;0,6;75,5;84,79;200,17;29,83;;5,96
2012-03-23;0,65;48,05;82,95;156,55;24,38;;2,95
2012-03-24;0,59;34,5;64,75;117,38;37,75;;2,79
2012-03-25;0,91;108,91;91,35;257,87;27,13;;5,74
2012-03-26;0,64;46,62;83,1;154,43;38,67;;2,67
2012-03-27;;30,71;93,13;140,0;53,21;;5,33
2012-03-28;0,91;72,25;125,88;235,94;38,09;;10,83
2012-03-29;1,15;66,92;129,21;231,29;22,88;;10,33
2012-03-30;0,94;122,08;145,5;331,88;33,33;;9,95
2012-03-31;0,53;27,61;82,04;124,09;45,74;;4,91
2012-04-01;0,53;30,13;75,5;121,38;44,21;;5,46
2012-04-02;0,54;29,21;69,63;114,13;49,17;;5,38
2012-04-03;0,45;21,46;58,38;91,08;38,0;;1,67
2012-04-04;0,43;20,17;51,29;81,71;38,25;;1,83
2012-04-05;0,4;14,38;45,04;67,0;38,46;;1,33
2012-04-06;0,32;11,29;38,25;55,04;48,96;;1,75
2012-04-07;0,24;3,08;24,67;28,13;72,58;;2,33
2012-04-08;0,28;5,54;28,42;35,5;65,54;;4,5
2012-04-09;0,33;6,42;36,04;45,0;55,88;;4,21
2012-04-10;0,57;40,75;73,75;135,54;36,38;;5,25
2012-04-11;0,35;19,5;43,71;72,88;54,29;;1,96
2012-04-12;0,55;27,22;67,13;108,57;28,83;;4,96
2012-04-13;0,44;30,38;56,92;102,96;37,63;;5,13
2012-04-14;0,34;31,67;51,71;100,25;50,88;;3,13
2012-04-15;0,34;18,92;43,13;71,75;49,08;;2,17
2012-04-16;0,53;44,32;65,0;131,79;53,65;;3,95
2012-04-17;0,52;69,92;83,25;190,13;55,54;;4,96
2012-04-18;0,58;29,75;69,17;114,33;48,38;;3,5
2012-04-19;0,43;48,42;65,88;139,92;52,92;;5,63
2012-04-20;0,4;16,21;49,0;73,42;60,42;;2,71
