date;no;no2;nox;o3;pm10
2018-03-09;2,2;17,3;20,1;81,7;
2018-03-10;1,58;9,29;10,92;72,83;
2018-03-11;1,0;3,75;3,92;79,63;
2018-03-12;1,08;6,25;6,83;80,13;
2018-03-13;1,46;9,42;10,46;76,13;
2018-03-14;3,13;16,13;19,83;71,17;
2018-03-15;1,08;7,17;7,5;86,71;
2018-03-16;1,42;6,75;7,96;82,42;
2018-03-17;1,0;5,67;5,63;78,58;
2018-03-18;1,21;6,04;6,5;79,33;
2018-03-19;1,13;4,25;4,71;84,83;
2018-03-20;1,75;12,04;13,67;75,38;
2018-03-21;1,42;8,29;9,38;86,83;
2018-03-22;1,33;6,75;7,54;86,46;
2018-03-23;2,43;16,87;19,57;82,48;
2018-03-24;1,13;8,92;9,71;85,96;
2018-03-25;1,04;6,35;7,09;96,65;
2018-03-26;1,5;6,7;8,4;74,5;
2018-03-27;2,25;14,13;17,13;72,96;
2018-03-28;4,46;17,0;23,71;54,71;
2018-03-29;3,04;17,04;21,42;73,38;
2018-03-30;1,0;11,88;13,25;82,88;
2018-03-31;1,0;4,5;5,38;94,17;
2018-04-01;1,5;6,46;8,08;95,13;
2018-04-02;3,0;12,0;16,13;101,79;
2018-04-03;3,5;15,75;20,71;99,89;
2018-04-04;1,29;7,08;8,71;;
2018-04-05;2,32;14,23;17,32;;
2018-04-06;6,75;23,13;33,25;;
2018-04-07;1,0;6,54;7,29;;
2018-04-08;1,0;6,96;7,79;;
2018-04-09;5,42;16,88;24,63;;
2018-04-10;1,29;9,92;11,21;;
2018-04-11;1,33;11,67;12,92;;
2018-04-12;2,08;11,13;13,54;;
2018-04-13;1,79;24,33;26,71;;
2018-04-14;1,04;7,92;8,79;;
2018-04-15;1,25;6,08;7,58;;
2018-04-16;1,54;12,42;14,42;69,19;
2018-04-17;2,83;12,58;16,67;76,33;
2018-04-18;2,33;14,0;17,17;96,58;
2018-04-19;1,42;10,46;12,21;108,29;
2018-04-20;2,96;17,38;21,33;97,92;
2018-04-21;5,79;17,71;25,88;85,04;
2018-04-22;1,63;7,29;9,33;98,21;
2018-04-23;11,33;34,33;51,17;79,08;
2018-04-24;3,17;26,75;31,29;82,04;
2018-04-25;3,54;15,42;20,38;85,92;
2018-04-26;2,58;17,08;20,83;71,88;
2018-04-27;2,83;15,38;19,33;83,54;
2018-04-28;2,25;14,71;18,17;90,83;
2018-04-29;1,0;9,42;10,67;88,79;
2018-04-30;1,21;7,42;8,92;87,04;
2018-05-01;1,0;9,17;9,67;85,17;
2018-05-02;2,6;23,5;27,2;86,7;
2018-05-03;2,25;15,42;18,58;71,63;
2018-05-04;2,5;15,0;18,42;65,21;
2018-05-05;1,04;7,08;7,96;84,21;
2018-05-06;1,29;8,25;9,58;95,25;
2018-05-07;10,38;28,92;44,29;79,0;
2018-05-08;4,25;30,79;37,13;69,0;
2018-05-09;2,42;24,08;27,46;75,04;
2018-05-10;2,08;25,42;28,29;66,27;
2018-05-11;1,71;12,08;14,38;83,63;
2018-05-12;1,0;9,88;11,08;87,63;
2018-05-13;1,29;8,04;9,5;77,58;
2018-05-14;2,08;10,13;13,04;76,5;
2018-05-15;1,63;14,58;16,96;79,33;
2018-05-16;4,46;28,08;34,75;78,88;
2018-05-17;1,96;20,96;23,58;98,92;
2018-05-18;1,54;17,92;19,79;99,5;
2018-05-19;1,96;13,21;15,75;102,5;
2018-05-20;1,25;9,38;10,88;100,63;
2018-05-21;1,42;12,75;14,71;107,33;
2018-05-22;2,29;22,88;25,92;98,04;
2018-05-23;3,17;20,67;25,25;98,0;
2018-05-24;4,21;30,25;36,5;89,63;
2018-05-25;1,05;9,09;10,14;108,68;
2018-05-26;1,0;5,13;5,88;95,21;
2018-05-27;1,0;5,54;6,33;100,5;
2018-05-28;1,29;9,67;11,17;89,79;
2018-05-29;1,33;11,58;13,25;84,46;
2018-05-30;1,79;10,54;12,54;87,58;
2018-05-31;2,75;19,63;23,13;85,29;
2018-06-01;4,83;33,13;40,25;76,75;
2018-06-02;1,67;20,29;22,58;70,42;
2018-06-03;1,04;8,21;9,13;82,79;
2018-06-04;3,46;12,54;17,42;94,5;
2018-06-05;1,58;12,92;14,79;82,25;
2018-06-06;1,67;11,63;13,63;80,54;
2018-06-07;1,71;12,21;14,17;70,67;
2018-06-08;1,61;8,96;10,78;97,91;
2018-06-09;1,08;6,38;7,25;108,17;
2018-06-10;1,42;12,0;13,46;91,17;
2018-06-11;1,46;7,83;9,67;90,67;
2018-06-12;1,46;7,92;9,67;83,13;
2018-06-13;1,38;12,54;14,21;88,58;
2018-06-14;1,75;13,21;15,67;89,42;
2018-06-15;2,88;22,96;26,96;77,38;
2018-06-16;1,75;20,88;23,25;73,58;
2018-06-17;2,5;21,63;25,42;61,54;
2018-06-18;1,63;12,92;14,96;91,29;
2018-06-19;1,92;16,04;18,75;82,63;
2018-06-20;2,21;19,3;22,35;99,54;
2018-06-21;7,71;33,96;45,21;;
2018-06-22;6,71;22,08;32,13;;
2018-06-23;2,0;16,75;19,33;;
2018-06-24;1,42;13,5;15,21;;
2018-06-25;1,67;13,58;15,75;99,92;
2018-06-26;1,88;20,04;22,46;100,75;
2018-06-27;1,42;10,42;12,13;106,88;
2018-06-28;1,83;12,83;15,33;95,71;
2018-06-29;2,04;13,46;16,29;100,96;
2018-06-30;1,25;9,88;11,29;116,29;
2018-07-01;1,08;10,13;11,58;101,33;
2018-07-02;2,92;18,54;22,71;79,08;
2018-07-03;2,92;17,21;21,33;81,96;
2018-07-04;3,58;21,04;26,38;76,5;
2018-07-05;1,25;10,5;11,96;100,21;
2018-07-06;1,71;11,79;13,96;94,58;
2018-07-07;1,96;12,38;14,96;82,71;
2018-07-08;1,04;9,42;10,46;110,17;
2018-07-09;2,29;14,83;17,67;103,88;
2018-07-10;1,17;12,83;14,13;100,39;
2018-07-11;1,29;14,42;15,5;100,29;
2018-07-12;1,42;13,96;14,75;112,13;
2018-07-13;1,04;11,88;12,0;121,54;
2018-07-14;1,08;9,58;9,83;125,58;
2018-07-15;1,54;9,58;10,67;99,17;
2018-07-16;1,21;13,83;14,5;95,38;
2018-07-17;1,04;8,92;9,5;109,71;
2018-07-18;1,88;15,04;16,79;97,33;
2018-07-19;2,63;18,96;21,92;94,63;
2018-07-20;2,22;17,7;19,87;102,78;
2018-07-21;1,0;7,13;7,29;85,29;
2018-07-22;2,21;15,38;17,42;76,17;
2018-07-23;1,08;5,38;5,92;93,13;
2018-07-24;1,21;10,38;10,96;86,88;
2018-07-25;2,17;17,96;19,96;96,0;
2018-07-26;1,33;9,75;10,54;107,29;
2018-07-27;1,5;8,08;9,25;104,54;
2018-07-28;1,04;4,21;4,5;96,92;
2018-07-29;1,25;8,92;9,54;81,38;
2018-07-30;1,95;16,77;18,59;80,41;
2018-07-31;1,63;19,79;21,29;98,46;
2018-08-01;1,5;14,75;15,63;115,92;
2018-08-02;1,96;15,13;16,83;120,58;
2018-08-03;2,33;23,33;25,92;118,0;
2018-08-04;1,08;9,75;9,79;145,42;
2018-08-05;1,13;9,96;10,04;156,46;
2018-08-06;2,0;19,38;21,29;125,08;
2018-08-07;1,0;5,72;6,11;104,11;
2018-08-08;1,75;10,0;11,67;86,58;
2018-08-09;1,0;10,08;10,08;84,17;
2018-08-10;1,33;10,71;11,54;71,88;
2018-08-11;1,58;10,67;11,96;92,58;
2018-08-12;;;6,42;82,46;
2018-08-13;1,83;12,13;13,54;90,58;
2018-08-14;1,21;8,21;8,75;68,88;
2018-08-15;1,21;7,0;7,25;75,21;
2018-08-16;1,29;6,71;7,13;84,25;
2018-08-17;1,43;5,36;5,79;88,57;
2018-08-20;1,55;18,45;19,82;119,36;
2018-08-21;1,18;8,45;8,64;114,05;
2018-08-22;1,21;11,38;12,04;116,08;
2018-08-23;2,67;17,33;20,13;114,79;
2018-08-24;1,21;7,54;8,25;102,67;
