date;co;no;no2;nox;o3;pm10;pm2.5;so2
2012-01-01;0,2;5,13;16,33;23,92;33,63;;;1,04
2012-01-02;0,22;4,42;14,0;20,17;43,13;;;1,21
2012-01-03;0,27;7,29;23,5;34,38;34,54;;;1,17
2012-01-04;0,25;17,83;28,46;55,38;25,63;;;1,22
2012-01-05;0,3;4,52;14,14;20,43;47,71;;;1,22
2012-01-06;0,23;3,54;24,46;29,21;44,46;;;1,08
2012-01-07;0,34;1,5;12,13;14,38;44,63;;;1,25
2012-01-09;0,53;22,85;47,92;82,69;20,46;;;1,62
2012-01-10;0,65;67,08;68,83;171,13;11,29;;;1,92
2012-01-11;0,67;50,5;63,0;140,0;12,96;;;1,25
2012-01-12;0,29;12,63;48,96;67,96;24,29;;;1,63
2012-01-13;0,61;28,25;50,42;93,38;16,29;;;1,58
2012-01-14;0,95;3,17;26,5;30,67;15,17;;;1,0
2012-01-16;0,56;2,91;40,0;44,27;46,64;;;1,0
2012-01-17;0,44;14,63;42,92;65,08;43,46;;;1,08
2012-01-18;0,5;29,43;48,83;93,43;21,96;;;1,52
2012-01-19;0,72;16,38;45,17;70,04;21,54;;;1,58
2012-01-20;0,97;46,0;54,59;124,5;16,08;;;1,45
2012-01-21;0,56;16,21;40,13;64,54;27,04;;;1,54
2012-01-22;0,25;10,75;25,38;41,38;32,75;;;1,17
2012-01-23;0,67;9,04;26,38;39,83;32,46;;;1,13
2012-01-24;1,0;16,75;37,46;62,96;22,17;;;1,58
2012-01-25;0,9;58,75;65,46;154,92;14,29;;;2,29
2012-01-26;0,68;47,17;71,58;143,42;12,38;;;3,29
2012-01-27;0,42;19,42;55,08;84,38;20,92;;;1,83
2012-01-28;0,46;14,33;43,54;65,0;10,83;;;1,25
2012-01-29;0,5;8,33;34,38;46,75;29,63;;;1,08
2012-01-30;0,8;17,08;41,29;67,17;28,96;;;2,63
2012-01-31;0,62;16,29;40,08;64,5;29,13;;;2,29
2012-02-01;0,57;17,57;52,81;79,29;17,62;;;1,86
2012-02-02;0,4;9,04;34,21;47,83;24,0;;;1,25
2012-02-03;0,57;5,38;26,88;34,54;40,21;;;1,46
2012-02-04;1,02;5,17;19,17;26,75;63,13;;;1,17
2012-02-05;0,45;3,08;23,92;28,33;52,42;;;1,08
2012-02-06;0,91;15,38;41,08;64,46;36,92;;;1,04
2012-02-07;0,83;9,75;35,79;50,08;50,67;;;1,04
2012-02-08;0,75;6,04;29,29;38,21;51,67;;;1,17
2012-02-09;0,65;6,13;24,0;32,83;46,5;;;1,38
2012-02-10;0,37;7,46;39,71;50,96;41,04;;;1,21
2012-02-11;0,49;3,13;21,29;25,75;62,61;;;1,83
2012-02-12;0,47;4,42;27,08;33,33;55,58;;;2,08
2012-02-13;1,24;17,58;48,29;74,75;44,5;;;2,04
2012-02-14;0,87;8,63;43,42;56,21;42,13;;;2,33
2012-02-15;0,7;8,55;44,85;57,45;31,76;;;2,14
2012-02-16;1,46;14,13;47,54;68,58;37,13;;;2,63
2012-02-17;0,2;12,38;50,17;68,79;31,54;;;2,88
2012-02-18;0,25;6,83;42,83;52,83;38,08;;;3,0
2012-02-19;0,32;9,83;43,46;58,17;37,08;;;2,08
2012-02-20;0,84;8,5;40,17;52,83;40,58;;;3,5
2012-02-21;0,33;16,88;56,58;81,96;32,63;;;3,08
2012-02-22;0,33;18,25;60,04;87,42;36,0;;;2,96
2012-02-23;0,39;13,75;47,38;68,13;49,38;;;3,67
2012-02-24;0,72;67,58;98,25;201,21;13,79;;;5,42
2012-02-25;0,4;;;;23,25;;;6,38
2012-02-26;0,48;39,54;78,79;139,13;29,58;;;5,29
2012-02-27;0,31;7,42;39,13;50,0;43,08;;;2,75
2012-02-28;0,48;16,25;58,96;83,5;31,33;;;3,71
2012-02-29;0,65;45,95;69,95;139,77;35,17;;;2,91
2012-03-01;0,66;75,29;91,79;206,5;25,54;;;1,33
2012-03-02;0,59;16,0;63,29;87,58;43,67;;;1,38
2012-03-03;0,82;12,79;49,46;68,58;54,08;;;1,58
2012-03-04;0,3;4,08;34,17;40,04;50,63;;;1,08
2012-03-05;0,5;3,58;23,54;28,88;62,79;;;1,25
2012-03-06;0,84;4,46;25,29;31,63;65,08;;;1,42
2012-03-07;0,85;5,46;38,33;46,13;58,33;;;1,33
2012-03-08;0,55;8,5;45,67;58,17;50,63;;;1,88
2012-03-09;0,43;7,29;43,25;53,96;51,17;;;1,46
2012-03-10;0,39;3,0;34,13;38,25;67,83;;;1,42
2012-03-11;0,33;3,5;38,38;43,5;56,92;;;1,67
2012-03-12;0,37;15,21;63,96;86,96;31,58;;;2,79
2012-03-13;0,69;48,14;102,05;176,5;18,96;;;4,05
2012-03-14;0,67;68,0;117,46;221,21;28,92;;;4,17
2012-03-15;0,59;51,5;104,83;183,08;28,67;;;3,88
2012-03-16;0,7;45,38;94,25;163,21;37,96;;;5,0
2012-03-17;0,31;4,29;39,21;45,63;67,25;;;2,08
2012-03-18;0,34;1,71;19,88;22,0;70,83;;;1,13
2012-03-19;0,32;3,96;27,71;33,29;67,46;;;1,88
2012-03-20;0,47;4,63;28,33;34,83;64,17;;;1,08
