date;co;no;no2;nox;o3;pm10;pm2.5;so2
2012-01-01;0,61;6,48;28,39;37,87;31,17;;;8,25
2012-01-02;0,28;3,61;16,17;21,13;45,04;;;5,13
2012-01-03;0,49;7,15;30,6;41,3;32,67;;;4,74
2012-01-04;0,3;15,65;36,09;59,39;26,17;;;5,83
2012-01-05;0,21;2,09;18,3;20,91;44,21;;;3,75
2012-01-06;0,37;3,09;21,65;25,74;43,38;;;5,92
2012-01-07;0,3;3,78;25,35;30,65;35,25;;;6,25
2012-01-08;0,3;2,26;14,0;16,83;39,88;;;3,21
2012-01-09;0,42;10,7;35,18;50,22;27,63;;;8,38
2012-01-10;0,52;29,57;59,17;103,91;16,88;;;4,92
2012-01-11;0,54;37,61;64,0;121,0;13,29;;;2,58
2012-01-12;0,41;5,96;36,13;45,13;30,63;;;5,67
2012-01-13;0,22;12,09;34,91;53,26;26,58;;;4,21
2012-01-14;0,47;22,83;46,7;81,26;15,96;;;3,79
2012-01-15;0,47;10,91;38,17;54,26;24,79;;;4,88
2012-01-16;0,31;6,17;38,87;47,74;33,67;;;4,88
2012-01-17;0,59;11,74;48,13;65,35;38,29;;;4,46
2012-01-18;0,52;14,5;44,5;66,45;20,23;;;2,0
2012-01-19;0,33;9,17;34,22;47,96;29,21;;;5,17
2012-01-20;0,39;16,7;48,78;73,78;24,38;;;6,17
2012-01-21;0,43;8,74;31,87;45,04;32,46;;;4,29
2012-01-22;0,3;10,74;26,43;42,26;33,71;;;5,54
2012-01-23;0,31;4,84;23,89;30,79;36,91;;;3,48
2012-01-24;;11,28;45,0;61,89;14,88;;;2,91
2012-01-25;;29,22;56,3;100,39;22,0;;;1,96
2012-01-26;;29,0;66,17;110,09;17,5;;;2,54
2012-01-27;;9,48;42,87;57,0;28,08;;;3,46
2012-01-28;;9,74;40,91;55,39;13,42;;;2,88
2012-01-29;;3,87;29,65;35,17;34,58;;;3,63
2012-01-30;;4,7;31,17;37,87;39,29;;;4,0
2012-01-31;0,28;11,1;37,29;53,76;35,14;;;3,96
2012-02-01;0,65;35,04;55,48;108,61;19,63;;;3,5
2012-02-02;0,55;7,87;36,65;48,35;25,71;;;3,29
2012-02-03;0,34;4,65;29,0;35,57;40,83;;;1,71
2012-02-04;0,21;2,17;21,91;24,57;64,67;;;1,46
2012-02-05;0,36;2,09;24,04;26,65;55,42;;;1,5
2012-02-06;0,22;5,7;28,43;36,57;50,83;;;6,08
2012-02-07;0,23;6,96;30,04;40,04;62,71;;;4,13
2012-02-08;0,47;2,43;30,48;33,65;54,83;;;3,63
2012-02-09;0,32;3,0;22,74;27,04;51,29;;;6,5
2012-02-10;0,47;5,39;32,39;40,09;50,38;;;8,46
2012-02-11;0,51;1,61;19,57;21,61;64,88;;;6,46
2012-02-12;0,4;2,26;27,35;30,17;59,08;;;4,42
2012-02-13;0,37;5,35;42,04;49,96;54,38;;;3,42
2012-02-14;0,33;9,48;46,87;60,87;43,92;;;6,92
2012-02-15;0,28;4,33;41,19;47,29;40,95;;;6,09
2012-02-16;0,26;7,13;42,13;52,65;45,63;;;5,88
2012-02-17;0,45;7,87;49,65;61,39;36,75;;;5,79
2012-02-18;0,44;1,78;26,39;28,83;55,08;;;6,92
2012-02-19;0,54;4,0;36,96;42,65;45,08;;;2,46
2012-02-20;0,47;6,09;39,22;48,17;43,33;;;2,25
2012-02-21;0,36;12,17;47,35;65,65;47,04;;;5,5
2012-02-22;0,57;16,52;56,3;81,17;45,71;;;6,38
2012-02-23;0,24;3,22;33,57;37,83;62,96;;;7,33
2012-02-24;0,5;36,22;77,96;132,87;32,5;;;10,17
2012-02-25;;29,0;;128,74;25,08;;;
2012-02-26;0,55;21,0;70,57;102,22;39,33;;;7,92
2012-02-27;0,5;4,61;32,39;39,09;50,75;;;4,83
2012-02-28;0,54;10,5;50,6;66,3;41,05;;;4,95
2012-02-29;0,74;46,26;76,74;147,0;37,63;;;6,25
2012-03-01;0,72;51,96;96,04;175,26;28,29;;;4,82
2012-03-02;0,63;29,22;64,78;109,0;46,92;;;1,6
2012-03-03;0,51;5,48;40,87;49,0;64,67;;;2,13
2012-03-04;0,39;1,91;22,83;25,35;63,42;;;1,58
2012-03-05;0,24;2,78;21,7;25,43;69,13;;;2,33
2012-03-06;0,28;2,7;23,74;27,3;70,21;;;1,75
2012-03-07;0,37;3,78;33,52;38,35;64,33;;;2,67
2012-03-08;0,38;3,13;31,13;35,57;68,29;;;7,21
2012-03-09;0,28;5,22;39,0;46,26;57,13;;;7,71
2012-03-10;0,44;1,91;29,7;32,35;77,38;;;2,0
2012-03-11;0,35;2,7;35,09;38,57;67,21;;;1,5
2012-03-12;0,47;18,67;59,81;87,9;42,04;;;3,74
2012-03-13;0,61;39,3;88,52;148,39;33,46;;;7,29
2012-03-14;0,62;21,35;84,0;116,35;45,33;;;8,71
2012-03-15;0,56;29,65;91,3;136,43;35,21;;;5,79
2012-03-16;0,73;35,22;81,04;134,48;45,04;;;6,38
2012-03-17;0,47;7,17;45,13;55,65;64,54;;;5,46
2012-03-18;0,3;1,22;15,57;16,7;75,04;;;4,79
2012-03-19;0,33;2,43;21,7;24,91;74,83;;;4,46
2012-03-20;0,41;3,52;20,52;25,48;68,04;;;1,83
2012-03-21;0,26;1,78;23,43;25,48;72,46;;;1,88
2012-03-22;0,39;7,83;42,78;54,17;60,13;;;4,0
2012-03-23;0,33;12,39;50,26;68,7;46,88;;;1,88
2012-03-24;0,36;4,04;43,87;49,61;56,42;;;3,13
2012-03-25;0,28;6,81;43,48;53,38;62,86;;;3,68
2012-03-26;0,46;14,39;60,13;81,78;59,04;;;5,54
2012-03-27;0,37;3,0;47,86;52,0;83,95;;;3,45
2012-03-28;0,51;6,35;55,96;64,87;80,04;;;6,25
2012-03-29;0,6;15,22;80,43;103,52;56,88;;;6,04
2012-03-30;0,39;3,83;45,39;50,74;95,46;;;3,88
2012-03-31;0,27;6,04;61,43;70,35;60,29;;;4,29
2012-04-01;0,31;3,17;37,13;41,39;75,92;;;7,29
2012-04-02;0,4;5,35;38,83;46,39;74,54;;;1,71
2012-04-03;0,38;5,96;44,57;53,17;46,92;;;1,0
2012-04-04;0,26;3,13;32,7;37,09;54,04;;;2,54
2012-04-05;0,39;5,22;33,43;40,74;49,29;;;3,5
2012-04-10;0,38;6,92;38,31;48,54;64,23;;;1,0
2012-04-11;0,2;2,26;14,61;17,35;73,13;;;2,75
2012-04-12;0,41;5,61;36,09;44,43;49,0;;;2,79
2012-04-13;0,21;3,52;26,48;31,39;53,92;;;3,25
2012-04-14;0,34;1,43;12,7;14,52;70,92;;;2,83
2012-04-15;0,31;1,26;14,96;16,43;69,92;;;3,63
2012-04-16;0,2;1,57;15,22;16,96;87,71;;;7,0
2012-04-17;0,2;1,91;18,0;20,43;87,08;;;5,5
2012-04-18;0,4;3,65;28,17;33,09;71,46;;;6,75
2012-04-19;0,2;1,38;12,57;13,86;82,91;;;2,83
2012-04-20;0,41;1,61;13,78;15,78;85,67;;;2,21
2012-04-21;0,5;1,65;19,52;21,39;78,29;;;2,88
2012-04-22;0,24;1,04;8,52;9,48;86,83;;;2,29
2012-04-23;0,41;2,04;15,17;18,04;84,25;;;3,29
2012-04-24;0,21;1,74;16,22;18,22;83,13;;;1,83
2012-04-25;0,38;1,57;21,78;23,87;75,63;;;1,63
2012-04-26;0,34;2,21;25,68;28,79;79,38;;;5,75
2012-04-27;0,39;3,19;29,52;33,71;70,83;;;2,63
2012-04-28;0,36;1,29;20,46;21,92;86,54;;;1,63
2012-04-29;0,26;1,29;14,13;15,42;91,96;;;3,5
2012-04-30;0,33;1,29;18,29;19,5;89,39;;;2,5
2012-05-01;0,33;2,0;24,21;26,67;77,46;;;3,71
2012-05-02;0,36;4,29;32,79;38,75;72,5;;;1,67
2012-05-03;0,29;3,88;31,04;36,46;72,42;;;4,54
2012-05-04;0,47;5,17;41,29;48,46;64,08;;;5,04
2012-05-05;0,31;2,67;27,42;31,04;69,21;;;3,17
2012-05-06;0,2;1,67;24,5;26,58;67,63;;;2,75
2012-05-07;0,27;6,92;33,75;43,83;67,04;;;3,29
2012-05-08;0,29;7,38;41,71;52,54;65,46;;;2,92
2012-05-09;0,54;5,08;36,17;43,5;69,88;;;2,67
2012-05-10;0,36;12,73;57,91;76,86;60,19;;;4,52
2012-05-11;0,29;15,29;57,71;80,46;59,83;;;2,67
2012-05-12;0,4;7,92;54,88;66,38;61,38;;;6,75
2012-05-13;0,35;1,96;27,21;29,67;64,42;;;3,08
2012-05-14;0,39;1,67;20,83;22,88;83,83;;;2,25
2012-05-15;0,33;2,08;25,13;27,75;88,88;;;1,71
2012-05-16;0,27;1,92;22,75;25,13;77,63;;;1,0
2012-05-17;0,5;1,79;25,63;27,96;81,83;;;1,09
2012-05-18;0,4;1,59;23,14;25,0;85,5;;;2,94
2012-05-19;0,27;1,29;19,75;21,08;99,67;;;2,71
2012-05-20;0,46;1,79;24,38;26,71;64,29;;;3,58
2012-05-21;0,2;1,75;12,63;15,0;72,67;;;1,63
2012-05-22;0,34;3,13;21,33;25,5;65,46;;;2,33
2012-05-23;0,36;5,21;38,13;45,67;55,08;;;4,63
2012-05-24;0,35;14,0;54,0;74,79;58,5;;;4,25
2012-05-25;0,4;8,13;48,04;59,92;71,21;;;6,0
2012-05-26;0,3;1,29;22,5;24,04;89,38;;;4,88
2012-05-27;0,51;1,96;21,13;23,71;80,5;;;2,5
2012-05-28;0,47;1,75;22,38;24,46;72,17;;;1,58
2012-05-29;0,28;5,83;32,5;41,17;72,04;;;4,75
2012-05-30;0,4;6,04;35,88;44,5;73,58;;;5,63
2012-05-31;0,5;6,83;38,92;48,58;68,92;;;2,08
