date;no;no2;nox;pm10
2012-01-01;22,46;39,83;73,54;
2012-01-02;21,08;39,67;71,58;
2012-01-03;27,08;49,25;90,58;
2012-01-04;19,46;34,79;64,08;
2012-01-05;22,46;36,96;70,79;
2012-01-06;12,58;32,25;51,08;
2012-01-07;27,88;45,08;87,46;
2012-01-08;12,71;30,83;49,92;
2012-01-09;46,75;48,58;119,83;
2012-01-10;59,21;53,38;143,67;
2012-01-11;90,5;58,75;196,79;
2012-01-12;68,83;65,72;170,5;
2012-01-13;40,67;60,13;122,08;
2012-01-14;39,54;51,0;111,13;
2012-01-15;32,46;54,0;103,25;
2012-01-16;30,63;55,17;101,79;
2012-01-17;29,54;59,71;104,71;
2012-01-18;56,88;66,42;152,96;
2012-01-19;61,5;63,63;157,25;
2012-01-20;70,5;65,0;172,42;
2012-01-21;42,83;60,5;125,71;
2012-01-22;35,17;46,5;99,75;
2012-01-23;39,79;58,79;119,33;
2012-01-24;49,48;61,0;136,43;
2012-01-25;74,04;73,0;185,67;
2012-01-26;68,5;70,29;174,83;
2012-01-27;39,29;59,04;118,42;
2012-01-28;27,79;55,04;97,33;
2012-01-29;12,5;40,46;59,17;
2012-01-30;41,08;68,54;131,21;
2012-01-31;25,54;58,58;97,25;
2012-02-01;65,54;62,0;161,92;
2012-02-02;27,08;54,17;95,42;
2012-02-03;10,95;48,81;64,27;
2012-02-04;6,04;34,58;43,29;
2012-02-05;13,54;56,5;76,88;
2012-02-06;28,5;51,92;95,21;
2012-02-07;10,42;49,33;64,58;
2012-02-08;10,9;59,9;76,52;
2012-02-09;10,96;41,54;57,79;
2012-02-10;15,21;49,96;72,63;
2012-02-11;6,0;34,0;42,71;
2012-02-12;5,33;36,58;44,21;
2012-02-13;37,08;77,88;134,33;
2012-02-14;26,63;67,54;107,71;
2012-02-15;31,96;60,5;109,33;
2012-02-16;36,96;63,17;119,25;
2012-02-17;26,54;63,04;103,38;
2012-02-18;26,96;56,96;97,63;
2012-02-19;22,17;54,88;88,38;
2012-02-20;16,46;48,33;72,92;
2012-02-21;26,38;56,92;96,96;
2012-02-22;53,71;83,75;165,75;
2012-02-23;49,27;84,59;159,68;
2012-02-24;50,92;69,83;147,29;
2012-02-25;35,58;67,75;122,0;
2012-02-26;24,71;63,33;100,79;
2012-02-27;13,75;49,92;70,38;
2012-02-28;33,92;47,42;98,83;
2012-02-29;45,42;65,21;134,25;
2012-03-01;48,63;72,13;146,29;
2012-03-02;30,5;57,96;104,29;
2012-03-03;14,83;47,13;69,29;
2012-03-04;10,13;41,13;56,29;
2012-03-05;6,96;26,21;36,38;
2012-03-06;7,92;30,75;42,13;
2012-03-07;12,61;53,26;72,17;
2012-03-08;23,46;60,83;96,29;
2012-03-09;16,63;52,96;77,75;
2012-03-10;10,83;52,21;68,38;
2012-03-11;6,13;43,75;52,54;
2012-03-12;23,96;67,21;103,46;
2012-03-13;38,92;76,17;135,33;
2012-03-14;36,58;76,96;132,54;
