date;no;no2;nox
2012-01-01;6,21;21,79;31,08
2012-01-02;8,75;19,79;33,13
2012-01-03;11,54;32,79;50,21
2012-01-04;15,96;33,38;57,54
2012-01-05;7,88;20,38;32,38
2012-01-06;5,17;23,58;31,04
2012-01-07;17,58;30,04;57,0
2012-01-08;8,71;21,04;34,38
2012-01-09;15,17;31,67;54,79
2012-01-10;40,13;47,54;108,79
2012-01-11;72,13;64,29;174,5
2012-01-12;33,21;52,21;102,92
2012-01-13;20,75;40,67;72,38
2012-01-14;22,04;38,63;72,38
2012-01-15;15,67;40,58;64,17
2012-01-16;11,25;46,13;63,0
2012-01-17;8,88;40,83;54,04
2012-01-18;31,04;52,17;99,61
2012-01-19;18,25;49,21;76,92
2012-01-20;42,88;54,96;120,21
2012-01-21;16,04;41,42;66,04
2012-01-22;9,38;32,71;46,79
2012-01-23;9,5;30,67;44,96
2012-01-24;19,42;45,96;75,25
2012-01-25;34,83;55,25;108,25
2012-01-26;49,67;72,46;148,33
2012-01-27;13,46;50,83;71,08
2012-01-28;15,83;44,46;68,33
2012-01-29;6,75;32,83;43,21
2012-01-30;14,17;47,79;69,08
2012-01-31;17,25;48,67;74,88
2012-02-01;43,0;64,05;129,59
2012-02-02;13,29;43,88;63,92
2012-02-03;6,68;31,52;42,5
2012-02-04;4,38;25,83;32,38
2012-02-05;5,04;34,96;42,42
2012-02-06;16,25;48,46;73,17
2012-02-07;9,08;39,08;52,75
2012-02-08;7,25;37,88;48,75
2012-02-09;6,71;28,54;38,96
2012-02-10;8,75;37,54;50,54
2012-02-11;4,5;28,33;34,96
2012-02-12;4,0;28,67;34,5
2012-02-13;15,08;52,42;75,29
2012-02-14;10,5;45,58;61,54
2012-02-15;10,75;47,04;63,13
2012-02-16;12,27;55,14;73,82
2012-02-17;9,0;45,08;58,71
2012-02-18;13,54;45,13;65,67
2012-02-19;6,38;44,29;53,96
2012-02-20;7,17;38,79;49,46
2012-02-21;11,17;54,54;71,54
2012-02-22;12,77;53,64;72,82
2012-02-23;19,08;59,38;88,58
2012-02-24;72,29;89,42;199,71
2012-02-25;56,79;79,17;165,67
2012-02-26;35,17;70,58;124,08
2012-02-27;8,0;36,13;48,04
2012-02-28;24,89;60,06;98,11
2012-02-29;34,79;57,71;110,63
2012-03-01;55,75;64,54;149,54
2012-03-02;21,46;51,46;84,04
2012-03-03;6,54;36,08;46,04
2012-03-04;6,21;28,33;37,42
2012-03-05;5,17;22,58;30,42
2012-03-06;4,29;21,5;27,96
2012-03-07;4,88;29,83;37,0
2012-03-08;6,92;32,04;42,38
2012-03-09;7,33;35,67;46,75
2012-03-10;2,79;26,38;30,33
2012-03-11;3,04;29,13;33,42
2012-03-12;14,08;47,96;69,17
2012-03-13;53,64;67,86;149,79
2012-03-14;64,08;77,5;175,46
2012-03-15;34,67;65,5;118,29
2012-03-16;38,58;64,42;123,25
2012-03-17;3,63;32,5;38,0
2012-03-18;2,0;20,46;23,25
2012-03-19;2,75;23,61;27,09
2012-03-20;3,04;25,38;29,63
2012-03-21;2,5;26,38;29,63
2012-03-22;6,17;39,67;48,63
2012-03-23;7,96;49,63;61,58
2012-03-24;9,96;47,29;62,25
2012-03-25;19,59;45,61;73,95
2012-03-26;9,33;52,08;66,0
2012-03-27;15,21;73,17;96,04
2012-03-28;20,9;85,57;115,29
2012-03-29;24,58;84,38;121,71
2012-03-30;17,29;72,58;98,71
2012-03-31;8,78;65,87;79,43
2012-04-01;23,08;69,71;104,67
2012-04-02;13,71;64,17;84,96
2012-04-03;14,92;65,92;88,71
2012-04-04;6,17;44,67;54,0
2012-04-05;5,5;40,08;48,42
2012-04-06;5,13;30,91;38,39
2012-04-07;1,46;16,67;18,67
2012-04-08;1,83;18,5;21,17
2012-04-09;1,92;21,63;24,46
2012-04-10;13,17;56,65;76,57
2012-04-11;3,38;22,96;28,0
2012-04-12;13,54;60,42;81,33
2012-04-13;5,38;38,25;46,21
2012-04-14;2,25;24,08;27,21
2012-04-15;2,13;25,42;28,29
2012-04-16;3,63;30,96;36,04
2012-04-17;3,36;28,23;32,82
2012-04-18;3,83;45,13;50,29
2012-04-19;2,17;29,96;32,67
2012-04-20;2,33;28,5;31,54
2012-04-21;1,6;40,4;42,0
2012-04-23;1,58;22,0;23,5
2012-04-24;2,0;27,45;29,45
2012-04-25;2,95;37,91;43,5
2012-04-26;6,79;44,04;54,33
2012-04-27;7,42;50,5;61,83
2012-04-28;1,96;25,38;28,08
2012-04-29;1,63;18,67;20,58
2012-04-30;1,67;18,88;21,04
2012-05-01;1,88;22,38;24,96
2012-05-02;5,25;29,04;36,79
2012-05-03;3,17;27,25;31,92
2012-05-04;4,08;35,67;41,54
2012-05-05;11,5;36,38;53,71
2012-05-06;1,83;25,38;27,92
2012-05-07;8,08;32,5;44,71
2012-05-08;7,48;34,19;45,33
2012-05-09;4,0;32,75;38,75
2012-05-10;17,25;59,25;85,25
2012-05-11;14,33;54,38;76,0
2012-05-12;9,58;49,38;63,75
2012-05-13;4,13;34,5;40,75
2012-05-14;2,96;21,5;25,46
2012-05-15;3,21;22,75;27,46
2012-05-16;3,46;21,0;25,83
2012-05-17;2,79;22,08;25,79
2012-05-18;2,59;30,57;34,73
2012-05-19;1,83;21,71;24,08
2012-05-20;2,08;25,75;28,33
2012-05-21;2,63;14,67;17,96
2012-05-22;5,33;28,33;35,96
2012-05-23;6,25;39,58;49,08
2012-05-24;22,75;51,17;85,63
2012-05-25;12,67;55,79;75,08
2012-05-26;3,67;28,83;34,21
2012-05-27;4,29;32,54;38,71
2012-05-28;4,42;33,63;40,21
2012-05-29;8,83;34,75;47,63
2012-05-30;5,54;41,29;49,71
2012-05-31;16,0;55,54;79,83
2012-06-01;6,54;44,42;53,96
2012-06-02;2,96;38,88;43,42
2012-06-03;1,92;23,04;25,63
2012-06-04;3,58;23,5;28,71
2012-06-05;2,62;15,1;18,38
2012-06-06;3,43;20,79;25,83
2012-06-07;5,5;32,71;40,67
2012-06-08;8,71;39,38;52,46
2012-06-09;2,5;14,42;17,67
2012-06-10;2,42;17,79;21,17
2012-06-11;3,17;15,75;20,25
2012-06-12;3,67;18,5;23,58
2012-06-13;3,04;19,29;23,58
2012-06-14;4,08;21,67;27,38
2012-06-15;8,21;33,42;45,63
2012-06-16;4,17;31,13;37,54
2012-06-17;4,79;38,83;45,83
2012-06-18;7,38;32,29;43,29
2012-06-19;5,0;46,43;53,68
2012-06-20;6,21;38,75;48,17
2012-06-21;6,5;36,17;45,96
2012-06-22;7,25;38,25;49,0
2012-06-23;8,33;37,38;49,96
2012-06-24;5,46;36,08;43,96
2012-06-25;12,33;47,5;66,04
2012-06-26;17,67;52,25;79,33
2012-06-27;10,54;51,21;67,04
2012-06-28;5,63;29,0;37,08
2012-06-29;6,46;44,46;54,04
2012-06-30;2,38;22,38;26,08
2012-07-01;2,0;21,25;24,04
2012-07-02;4,63;23,67;30,58
2012-07-03;4,82;30,52;37,55
2012-07-04;3,0;20,04;24,33
2012-07-05;3,63;25,63;30,88
2012-07-06;4,5;25,63;32,46
2012-07-07;2,63;22,5;26,38
2012-07-08;2,92;21,25;25,67
2012-07-09;3,71;24,42;29,71
2012-07-10;6,17;30,67;39,88
2012-07-11;3,33;22,04;26,92
2012-07-12;3,04;20,26;24,39
2012-07-13;2,54;14,04;17,38
2012-07-14;1,93;22,8;25,0
2012-07-15;1,71;15,17;17,25
2012-07-16;3,0;15,54;19,33
2012-07-17;4,13;28,13;34,04
2012-07-18;13,48;50,09;70,65
2012-07-19;12,83;46,92;66,33
2012-07-20;4,79;33,29;40,54
2012-07-21;1,58;13,67;15,75
2012-07-22;1,67;12,25;14,21
2012-07-23;2,71;26,21;29,92
2012-07-24;5,92;34,25;42,96
2012-07-25;2,63;24,17;27,75
2012-07-26;5,79;35,38;43,79
2012-07-27;3,04;33,88;38,29
2012-07-28;1,88;21,13;23,88
2012-07-29;1,38;16,88;18,71
2012-07-30;2,55;21,61;25,45
2012-07-31;4,71;30,13;37,0
2012-08-01;2,5;16,96;20,33
2012-08-02;3,58;28,71;33,92
2012-08-03;10,21;53,75;68,88
2012-08-04;4,04;30,29;36,13
2012-08-05;2,17;22,04;25,04
2012-08-06;4,04;21,21;27,21
2012-08-07;4,29;32,88;39,08
2012-08-08;6,71;36,75;46,79
2012-08-09;8,5;47,42;60,04
2012-08-10;6,59;47,77;57,45
2012-08-11;6,29;45,21;54,63
2012-08-12;1,25;22,42;24,21
2012-08-13;2,08;15,08;17,92
2012-08-14;2,25;16,0;18,55
2012-08-15;1,33;11,38;12,96
2012-08-16;2,29;19,67;22,92
2012-08-17;5,67;36,42;44,75
2012-08-18;5,46;39,33;47,71
2012-08-19;7,25;40,33;51,33
2012-08-20;10,0;39,63;54,75
2012-08-21;5,33;33,83;41,71
2012-08-22;11,83;43,54;61,21
2012-08-23;14,35;48,43;70,0
2012-08-24;9,25;37,71;51,79
2012-08-25;2,08;20,21;23,21
2012-08-26;1,21;9,58;11,13
2012-08-27;3,17;17,21;21,67
2012-08-28;2,08;16,21;19,08
2012-08-29;3,04;26,0;30,33
2012-08-30;2,92;27,29;31,42
2012-08-31;3,38;20,04;24,88
2012-09-01;2,04;16,38;19,08
2012-09-02;1,67;18,08;20,5
2012-09-03;2,92;26,38;30,54
2012-09-04;3,88;32,58;38,13
2012-09-05;2,88;25,54;29,58
2012-09-06;3,25;31,58;36,17
2012-09-07;7,54;55,46;66,75
2012-09-08;3,38;31,79;36,88
2012-09-09;1,46;14,79;16,54
2012-09-10;3,36;22,5;27,32
2012-09-11;1,38;14,13;15,71
2012-09-12;8,67;32,58;45,79
2012-09-13;4,5;24,88;31,17
2012-09-14;6,08;34,5;43,5
2012-09-15;11,67;39,58;57,04
2012-09-16;1,71;18,54;20,83
2012-09-17;2,63;26,79;30,5
2012-09-18;4,79;32,33;39,29
2012-09-19;6,21;34,13;43,42
2012-09-20;3,83;31,21;36,5
2012-09-21;12,67;39,58;58,75
2012-09-22;2,63;22,58;26,58
2012-09-23;1,42;14,42;16,38
2012-09-24;1,67;10,79;12,71
2012-09-25;2,46;20,08;23,38
2012-09-26;11,88;35,75;53,54
2012-09-27;4,91;33,45;40,95
2012-09-28;7,21;42,71;53,58
2012-09-29;2,96;35,29;39,46
2012-09-30;2,0;18,75;21,5
2012-10-01;3,75;27,96;33,38
2012-10-02;5,96;44,58;53,46
2012-10-03;17,79;53,29;80,42
2012-10-04;3,42;30,79;35,88
2012-10-05;11,67;45,88;63,46
2012-10-06;5,29;34,25;42,21
2012-10-07;2,67;28,42;32,29
2012-10-08;13,5;45,67;66,04
2012-10-09;21,27;47,68;80,23
2012-10-10;7,13;32,5;43,17
2012-10-11;14,46;43,5;65,13
2012-10-12;6,83;34,92;45,0
2012-10-13;9,33;30,13;44,21
2012-10-14;4,83;26,0;33,04
2012-10-15;5,29;21,38;28,67
2012-10-16;6,5;28,46;38,0
2012-10-17;18,38;42,0;70,04
2012-10-18;4,71;36,67;43,75
2012-10-19;6,0;37,83;46,38
2012-10-20;3,0;25,29;29,54
2012-10-21;1,5;18,13;19,71
2012-10-22;4,75;34,33;41,13
2012-10-23;16,46;47,46;72,42
2012-10-24;11,58;41,08;58,63
