date;no;no2;nox
2012-01-01;9,92;28,29;43,21
2012-01-02;13,25;35,25;55,17
2012-01-03;29,79;46,38;91,42
2012-01-04;45,45;54,55;123,86
2012-01-05;15,21;43,25;66,21
2012-01-06;7,42;29,21;40,17
2012-01-07;19,63;40,88;70,63
2012-01-08;9,54;33,29;47,29
2012-01-09;18,25;40,13;67,75
2012-01-10;32,25;48,0;97,0
2012-01-11;60,29;57,5;149,33
2012-01-12;53,83;59,79;141,5
2012-01-13;14,58;39,38;61,54
2012-01-14;18,58;37,75;65,75
2012-01-15;18,33;44,83;72,5
2012-01-16;30,71;48,83;95,38
2012-01-17;23,42;51,08;86,54
2012-01-18;41,17;52,83;115,5
2012-01-19;22,45;50,36;84,32
2012-01-20;27,33;50,04;91,42
2012-01-21;18,46;38,5;66,42
2012-01-22;12,96;36,29;55,63
2012-01-23;18,04;44,08;71,29
2012-01-24;33,38;49,04;99,96
2012-01-25;39,5;54,08;114,13
2012-01-26;54,5;69,09;152,09
2012-01-27;52,21;64,58;144,0
2012-01-28;24,46;51,58;88,71
2012-01-29;15,75;42,58;66,42
2012-01-30;29,79;53,13;98,33
2012-01-31;29,83;57,83;103,08
2012-02-01;80,25;65,96;188,08
2012-02-02;13,64;43,77;64,55
2012-02-03;14,92;38,71;61,17
2012-02-04;6,58;29,25;39,0
2012-02-05;6,96;35,67;45,96
2012-02-06;23,38;44,21;79,67
2012-02-07;17,13;43,33;69,33
2012-02-08;9,58;41,17;55,42
2012-02-09;9,21;33,63;47,33
2012-02-10;14,29;39,21;60,71
2012-02-11;5,21;25,25;32,92
2012-02-12;6,96;30,17;40,42
2012-02-13;19,46;48,54;78,08
2012-02-14;15,67;44,21;67,71
2012-02-15;20,88;45,63;77,13
2012-02-16;17,79;50,46;77,25
2012-02-17;22,68;54,68;88,95
2012-02-18;18,92;43,5;72,04
2012-02-19;15,83;49,29;73,21
2012-02-20;19,63;50,92;80,71
2012-02-21;28,38;62,08;104,83
2012-02-22;16,25;51,08;75,71
2012-02-23;21,21;50,54;82,46
2012-02-24;31,79;64,71;113,0
2012-02-25;31,71;67,83;
2012-02-26;12,58;55,33;74,38
2012-02-27;16,92;52,0;77,42
2012-02-28;22,29;55,04;88,67
2012-02-29;35,42;58,83;112,71
2012-03-01;18,9;56,33;85,14
2012-03-02;20,63;54,42;85,63
2012-03-03;15,88;55,13;79,08
2012-03-04;5,38;32,21;40,17
2012-03-05;5,42;28,54;36,38
2012-03-06;6,0;29,88;38,83
2012-03-07;7,21;45,46;56,21
2012-03-08;13,04;49,67;69,63
2012-03-09;13,13;47,08;66,88
2012-03-10;4,71;34,08;41,21
2012-03-11;3,88;31,83;37,33
2012-03-12;13,13;52,25;71,92
2012-03-13;15,71;61,42;85,17
