date;no;no2;nox;so2
2012-01-01;8,96;26,21;39,75;1,25
2012-01-02;13,17;38,63;58,21;1,38
2012-01-03;37,46;50,88;107,96;2,54
2012-01-04;52,46;56,33;136,08;4,42
2012-01-05;28,5;49,45;92,95;3,1
2012-01-06;10,29;25,63;41,04;1,33
2012-01-07;23,92;40,04;76,17;3,42
2012-01-08;10,88;28,75;45,21;2,5
2012-01-09;29,04;38,17;82,25;3,33
2012-01-10;51,67;45,46;124,04;4,71
2012-01-11;84,04;54,33;182,58;6,71
2012-01-12;65,83;50,83;151,04;6,0
2012-01-13;25,0;40,08;77,92;4,25
2012-01-14;20,58;30,83;61,88;3,38
2012-01-15;20,75;35,58;67,0;4,33
2012-01-16;33,96;42,54;94,17;3,67
2012-01-17;35,5;50,75;104,83;3,13
2012-01-18;54,67;49,5;132,75;4,67
2012-01-19;41,46;44,13;107,17;5,33
2012-01-20;35,82;47,36;101,5;3,82
2012-01-21;22,58;38,88;73,0;3,58
2012-01-22;17,88;30,5;57,71;3,42
2012-01-23;20,67;39,33;70,42;3,88
2012-01-24;44,5;44,38;112,08;5,58
2012-01-25;44,13;44,04;111,21;5,67
2012-01-26;68,58;58,17;162,67;6,92
2012-01-27;61,21;52,0;145,0;5,79
2012-01-28;28,88;43,29;86,96;2,96
2012-01-29;21,21;34,46;66,38;3,13
2012-01-30;51,83;53,54;132,5;5,46
2012-01-31;42,13;53,08;117,42;6,38
2012-02-01;92,38;55,54;196,29;6,17
2012-02-02;17,0;42,82;68,82;2,0
2012-02-03;15,25;37,54;60,5;2,42
2012-02-04;8,13;26,21;38,58;2,79
2012-02-05;11,58;42,21;59,79;3,21
2012-02-06;34,75;51,38;104,17;4,25
2012-02-07;21,79;47,67;80,42;2,67
2012-02-08;10,96;48,04;64,67;4,25
2012-02-09;13,63;39,63;60,08;4,13
2012-02-10;13,04;31,0;50,67;4,08
2012-02-11;6,67;21,04;30,79;3,38
2012-02-12;8,33;28,25;40,54;3,58
2012-02-13;33,13;56,71;107,04;5,63
2012-02-14;19,79;47,0;76,96;4,63
2012-02-15;28,71;50,08;93,79;4,08
2012-02-16;35,13;55,5;109,04;5,38
2012-02-17;33,58;52,42;103,25;4,29
2012-02-18;24,96;39,71;77,5;5,5
2012-02-19;18,13;43,33;70,75;4,25
2012-02-20;13,41;35,86;55,95;3,68
2012-02-21;33,38;59,21;109,92;5,38
2012-02-22;26,21;62,21;101,89;3,64
2012-02-23;19,71;54,46;84,33;2,25
2012-02-24;45,13;76,57;145,17;4,67
2012-02-25;30,17;68,46;114,29;5,5
2012-02-26;8,22;53,22;65,43;4,78
2012-02-27;29,17;50,13;93,54;2,25
2012-02-28;36,17;50,04;105,04;1,92
2012-02-29;28,58;54,25;97,46;2,17
2012-03-01;26,92;56,67;97,67;2,67
2012-03-02;24,92;47,92;85,46;2,17
2012-03-03;11,83;43,79;61,58;2,0
2012-03-04;6,33;36,88;46,04;1,92
2012-03-05;5,19;34,38;41,9;1,29
2012-03-06;6,82;31,09;41,14;1,76
2012-03-07;12,33;46,54;65,13;3,29
2012-03-08;26,0;55,5;95,0;4,08
2012-03-09;17,67;49,92;76,29;3,5
2012-03-10;9,04;44,21;57,71;3,79
2012-03-11;4,96;33,08;40,29;3,75
2012-03-12;16,83;47,71;73,08;4,0
2012-03-13;17,67;51,83;78,46;4,63
2012-03-14;31,0;71,05;118,19;4,23
2012-03-15;25,08;56,21;94,38;4,0
2012-03-16;28,54;61,13;104,33;6,92
2012-03-17;13,08;45,79;65,67;3,63
2012-03-18;4,58;24,88;31,83;2,04
2012-03-19;3,67;20,0;24,88;1,21
2012-03-20;11,33;30,08;47,0;3,08
2012-03-21;3,29;28,33;33,0;1,79
2012-03-22;13,67;46,04;66,46;1,42
2012-03-23;29,71;44,83;89,79;3,17
2012-03-24;15,63;38,33;61,92;3,42
2012-03-25;6,14;31,0;40,05;2,82
2012-03-26;18,54;58,08;86,0;6,25
2012-03-27;21,63;60,13;92,71;5,33
2012-03-28;9,82;55,95;70,64;4,38
2012-03-29;6,83;48,25;58,46;4,08
2012-03-30;14,82;63,91;86,18;5,09
2012-03-31;18,16;57,21;84,53;5,46
2012-04-01;4,75;41,5;48,54;3,42
2012-04-02;20,17;49,63;80,21;3,92
2012-04-03;39,25;67,21;127,0;4,21
2012-04-04;12,25;47,88;66,17;3,08
2012-04-05;4,78;36,48;43,43;3,52
2012-04-06;6,0;26,92;35,79;2,13
2012-04-07;2,96;24,08;28,21;1,67
2012-04-08;1,79;13,21;15,54;1,5
2012-04-09;2,13;20,96;23,71;2,0
2012-04-10;50,08;48,33;124,83;3,88
2012-04-11;5,79;23,0;31,79;1,42
2012-04-12;26,67;58,0;98,38;4,58
2012-04-13;8,75;36,42;49,42;3,08
2012-04-14;4,54;27,96;34,67;2,04
2012-04-15;2,67;24,67;28,42;1,42
