date;c6h6;co;no;no2;nox;o3;so2
2012-01-01;;0,34;4,96;22,0;;26,92;1,0
2012-01-02;;0,35;13,58;31,08;;23,63;1,13
2012-01-03;;0,41;32,0;39,58;;17,4;1,67
2012-01-04;;0,5;65,58;41,92;;5,09;3,21
2012-01-05;;0,4;34,46;39,83;;13,95;2,42
2012-01-06;;0,32;18,42;26,67;;38,46;1,13
2012-01-07;;0,4;23,13;34,75;;17,63;2,0
2012-01-08;;0,34;7,45;25,95;;18,55;1,59
2012-01-09;;0,41;37,43;37,86;;15,29;2,36
2012-01-10;;0,48;42,46;38,0;;9,17;2,71
2012-01-11;;0,52;69,33;43,46;;7,08;3,46
2012-01-12;;0,44;45,67;40,33;;11,71;3,25
2012-01-13;;0,35;19,65;36,75;;6,42;1,67
2012-01-14;;0,37;18,33;30,46;;11,79;1,04
2012-01-15;;0,46;17,96;33,38;;15,75;1,0
2012-01-16;;0,48;38,71;41,63;;21,13;1,29
2012-01-17;;0,51;68,3;46,88;;23,21;1,42
2012-01-18;;0,55;57,58;40,75;;9,33;1,46
2012-01-19;;0,5;39,75;38,21;;11,42;2,46
2012-01-20;;0,45;40,68;40,32;;9,32;2,14
2012-01-21;;0,37;26,77;40,73;;18,92;2,33
2012-01-22;;0,37;20,42;33,92;;18,25;1,92
2012-01-23;;0,37;30,96;39,0;;7,83;1,71
2012-01-24;;0,41;56,88;32,67;;11,58;2,42
2012-01-25;;0,45;56,17;32,5;;13,63;2,83
2012-01-26;;0,51;78,38;36,04;;10,46;3,5
2012-01-27;;0,5;128,13;22,35;;6,43;3,26
2012-01-28;;0,43;46,71;38,92;;3,88;1,42
2012-01-29;;0,42;23,42;37,79;;21,96;1,67
2012-01-30;;0,43;67,04;39,33;;13,46;3,38
2012-01-31;;0,52;62,14;39,27;;9,0;4,23
2012-02-01;;0,6;130,96;38,93;;9,33;3,21
2012-02-02;;0,43;24,29;45,46;;13,79;1,04
2012-02-03;;0,43;19,48;49,33;;26,0;1,54
2012-02-04;;0,41;10,17;41,58;;47,58;2,17
2012-02-05;;0,39;6,67;54,54;;26,46;2,63
2012-02-06;;0,49;50,65;68,21;;12,41;3,05
2012-02-07;;0,49;38,17;63,0;;36,29;1,67
2012-02-08;;0,44;13,29;66,0;;21,83;2,38
2012-02-09;;0,53;12,9;55,5;;23,38;1,96
2012-02-10;;0,57;14,96;48,75;;35,04;2,04
2012-02-11;;0,5;6,71;39,67;;50,29;1,42
2012-02-12;;0,54;6,21;43,83;;45,83;1,29
2012-02-13;;0,63;36,88;73,42;;22,96;2,96
2012-02-14;;0,62;25,13;68,0;;24,42;2,92
2012-02-15;;0,26;40,63;66,29;;19,33;1,54
2012-02-16;;0,27;37,83;75,17;;16,92;2,54
2012-02-17;;0,24;33,38;70,46;;20,33;1,46
2012-02-18;;0,25;20,08;55,29;;29,0;1,92
2012-02-19;;0,26;17,63;57,92;;21,46;1,17
2012-02-20;;0,24;54,5;63,33;;30,13;1,67
2012-02-21;;0,28;50,55;77,73;;19,04;2,17
2012-02-22;;0,28;37,09;69,36;;23,42;1,83
2012-02-23;;0,21;22,83;62,54;;26,82;3,38
2012-02-24;;0,24;43,25;73,08;;16,96;4,83
2012-02-25;;0,24;23,29;64,83;;30,42;4,42
2012-02-26;;0,22;9,46;58,58;;32,71;4,46
2012-02-27;;0,23;44,21;61,79;;22,63;2,54
2012-02-28;;0,23;37,75;53,04;;26,63;2,04
2012-02-29;;0,22;26,79;58,79;;27,96;1,96
2012-03-01;;0,23;29,54;66,96;;26,13;2,33
2012-03-02;;0,21;26,33;58,96;;36,04;1,83
2012-03-03;;0,23;24,75;52,38;;45,33;1,67
2012-03-04;;0,22;3,92;37,54;;38,29;1,54
2012-03-05;;0,2;5,79;38,5;;46,92;1,42
2012-03-06;;0,2;33,88;46,79;;43,58;2,33
2012-03-07;;0,21;10,67;50,71;;38,96;2,54
2012-03-08;;0,29;31,41;60,86;;17,67;3,0
2012-03-09;;0,24;35,71;57,08;;48,71;3,29
2012-03-10;;0,23;14,42;52,75;;43,25;3,04
2012-03-11;;0,23;4,96;37,25;;51,71;2,54
2012-03-12;;0,25;18,75;52,71;;34,38;2,71
2012-03-13;;0,26;22,83;60,67;;37,63;3,08
2012-03-14;;0,38;41,0;77,0;;28,08;2,83
2012-03-15;;0,39;45,13;69,92;;36,58;1,83
