date;c6h6;co;no;no2;nox;o3;so2
2012-01-01;;0,3;3,63;14,88;;26,58;1,0
2012-01-02;;0,21;13,7;14,4;;39,71;1,04
2012-01-03;;0,32;14,13;16,54;;31,54;1,75
2012-01-04;;0,38;22,42;17,46;;18,21;3,13
2012-01-05;;0,27;25,65;18,91;;30,04;2,91
2012-01-06;;0,2;10,33;6,67;;49,63;2,21
2012-01-07;;0,22;10,79;7,25;;39,33;2,54
2012-01-08;;0,23;10,25;5,75;;32,79;3,71
2012-01-09;;0,28;22,54;18,08;;19,58;5,42
2012-01-10;;0,39;30,42;20,79;;13,83;3,18
2012-01-11;;0,4;20,79;18,08;;19,79;2,75
2012-01-12;;0,39;34,58;19,42;;19,96;4,54
2012-01-13;;0,43;32,17;22,83;;9,27;4,88
2012-01-14;;0,34;15,42;16,13;;24,08;5,92
2012-01-15;;0,34;10,92;11,92;;31,17;6,83
2012-01-16;;0,3;9,6;25,1;;38,78;1,11
2012-01-17;;0,21;7,43;20,87;;46,71;1,48
2012-01-18;;0,2;11,79;20,33;;25,17;1,38
2012-01-19;;0,27;25,91;25,09;;14,91;2,38
2012-01-20;;0,28;16,38;25,83;;13,43;1,04
2012-01-21;;0,23;8,42;21,92;;21,75;1,0
2012-01-22;;0,2;5,54;13,0;;24,92;1,0
2012-01-23;;0,22;13,96;22,21;;20,63;1,54
2012-01-24;;0,26;8,79;17,79;;29,42;2,42
2012-01-25;;0,36;21,96;24,17;;18,96;3,58
2012-01-26;;0,29;24,17;27,83;;16,59;3,96
2012-01-27;;0,28;11,71;32,63;;29,13;1,3
2012-01-28;;0,25;7,92;22,71;;9,67;1,75
2012-01-29;;0,27;5,38;17,25;;25,13;3,79
2012-01-30;;0,26;10,04;19,78;;35,96;2,0
2012-01-31;;0,28;20,67;28,67;;23,08;1,64
2012-02-01;;0,25;21,42;30,63;;15,17;1,38
2012-02-02;;0,28;12,0;21,46;;35,75;1,08
2012-02-03;;0,4;7,92;16,29;;54,67;1,92
2012-02-04;;0,48;8,0;11,42;;77,83;2,96
2012-02-05;;0,5;5,5;22,29;;54,25;4,5
2012-02-06;;0,49;20,71;26,46;;33,92;4,46
2012-02-07;;0,35;13,21;18,75;;59,68;3,95
2012-02-08;;0,3;9,63;19,42;;63,42;3,21
2012-02-09;;0,33;8,54;20,13;;52,25;2,88
2012-02-10;;0,26;6,63;15,75;;64,58;2,67
2012-02-11;;0,24;6,75;9,17;;88,83;2,88
2012-02-12;;0,22;5,38;14,29;;71,17;3,63
