date;co;h2s;no;no2;nox;o3;pm10;pm2.5;so2
2012-01-01;0,28;1,71;19,5;31,54;59,96;;;;1,38
2012-01-02;0,25;1,66;13,58;31,17;51,33;;;;1,04
2012-01-03;0,34;2,06;51,92;50,63;128,58;;;;2,08
2012-01-04;0,39;2,76;53,17;51,71;132,04;;;;2,96
2012-01-05;0,29;1,42;20,79;38,29;69,92;;;;2,71
2012-01-06;0,32;1,55;27,25;42,21;82,54;;;;2,13
2012-01-07;0,4;1,43;40,58;46,83;107,46;;;;1,75
2012-01-08;0,32;1,38;17,5;31,17;55,88;;;;1,0
2012-01-09;0,35;1,25;33,75;41,96;92,75;;;;1,58
2012-01-10;0,51;1,38;117,17;59,13;238,0;;;;6,63
2012-01-11;0,51;1,35;108,04;58,13;222,38;;;;6,33
2012-01-12;0,5;2,7;102,96;59,67;216,92;;;;4,08
2012-01-13;0,37;2,54;24,44;38,25;74,94;;;;1,2
2012-01-14;0,39;2,12;28,71;35,54;78,92;;;;1,33
2012-01-15;0,45;1,49;22,83;39,17;73,71;;;;1,42
2012-01-16;0,54;1,1;71,79;57,46;166,96;;;;4,17
2012-01-17;0,51;1,42;72,71;54,5;164,88;;;;4,17
2012-01-18;0,48;1,13;83,17;46,88;173,88;;;;4,88
2012-01-19;0,46;2,58;69,92;50,13;156,0;;;;3,0
2012-01-20;0,45;1,5;58,08;52,13;139,54;;;;2,88
2012-01-21;0,44;1,26;34,3;43,13;95,17;;;;1,65
2012-01-22;0,38;1,48;21,04;30,54;60,92;;;;1,17
2012-01-23;0,39;1,88;30,86;41,59;87,76;;;;1,48
2012-01-24;0,47;1,0;59,75;50,25;141,33;;;;5,75
2012-01-25;0,54;1,2;93,79;60,21;202,67;;;;6,79
2012-01-26;0,53;1,03;99,96;67,04;219,13;;;;8,42
2012-01-27;0,66;1,05;141,21;70,54;286,13;;;;9,13
2012-01-28;0,48;1,12;39,25;51,67;110,54;;;;3,96
2012-01-29;0,49;1,0;31,58;43,54;91,46;;;;3,42
2012-01-30;0,49;1,0;57,79;54,25;142,17;;;;5,25
2012-01-31;0,55;1,03;73,5;60,63;170,67;;;;7,54
2012-02-01;0,6;1,1;107,46;65,58;229,38;;;;6,92
2012-02-02;0,46;1,0;10,33;44,13;59,04;;;;3,21
2012-02-03;0,54;1,0;20,04;44,13;73,17;;;;3,88
2012-02-04;0,49;1,0;9,25;35,88;48,92;;;;3,25
2012-02-05;0,52;1,03;15,71;51,71;75,13;;;;2,54
2012-02-06;0,53;1,41;73,0;58,95;169,32;;;;4,95
2012-02-07;0,36;1,75;29,17;44,08;88,08;;;;4,0
2012-02-08;0,38;2,06;17,71;49,63;75,0;;;;1,79
2012-02-09;0,37;2,01;13,5;40,25;59,29;;;;1,0
2012-02-10;0,44;1,22;39,5;49,58;108,42;;;;2,92
2012-02-11;0,37;1,86;15,79;39,42;61,83;;;;1,54
