date;no;no2;nox;so2
2012-03-01;8,96;53,29;;5,83
2012-03-02;11,71;31,42;;5,25
2012-03-03;4,33;29,08;;6,96
2012-03-04;1,04;25,17;;7,08
2012-03-05;1,17;17,79;;4,83
2012-03-06;7,91;39,22;;5,27
2012-03-07;6,17;35,88;;1,29
2012-03-08;13,04;42,63;;1,0
2012-03-09;7,58;38,54;;1,38
2012-03-10;2,04;33,58;;1,13
2012-03-11;1,21;29,5;;2,75
2012-03-12;3,3;35,57;;5,86
2012-03-13;9,5;44,14;;5,77
2012-03-14;16,33;64,96;;8,92
2012-03-15;17,96;58,63;;11,13
2012-03-16;11,78;49,39;;4,14
2012-03-17;1,5;34,96;;1,08
2012-03-18;1,0;17,63;;1,0
2012-03-19;1,42;20,42;;1,0
2012-03-20;5,29;29,25;;1,0
2012-03-21;1,27;17,5;;1,6
2012-03-22;1,37;28,16;;2,24
2012-03-23;16,21;35,14;;1,96
2012-03-24;10,83;26,24;;2,33
2012-03-25;2,0;20,26;;2,04
2012-03-26;7,95;31,75;;3,04
2012-03-27;13,0;31,14;;3,17
2012-03-28;21,52;36,25;;4,57
2012-03-29;1,0;21,4;;1,78
2012-03-30;4,71;37,25;;1,17
2012-03-31;3,29;28,79;;1,25
2012-04-01;1,38;27,58;;1,75
2012-04-02;9,54;32,46;;1,13
2012-04-03;11,75;37,88;;1,0
2012-04-04;1,54;32,21;;1,0
2012-04-05;1,54;22,88;;1,0
2012-04-06;1,13;13,0;;1,0
2012-04-07;1,0;5,29;;1,0
2012-04-08;1,04;8,96;;1,04
2012-04-09;1,0;10,71;;1,0
2012-04-10;11,54;27,04;;1,25
2012-04-11;1,21;8,33;;1,17
2012-04-12;16,04;39,08;;2,36
2012-04-13;1,25;16,88;;1,42
2012-04-14;1,06;7,94;;1,18
2012-04-15;1,0;9,46;;2,08
2012-04-16;1,0;9,91;;2,04
2012-04-17;1,17;12,67;;1,71
2012-04-18;7,08;29,92;;3,67
2012-04-19;1,0;7,54;;3,5
2012-04-20;1,08;9,83;;2,74
2012-04-21;2,29;19,29;;2,0
2012-04-22;1,0;8,92;;1,54
2012-04-23;2,88;12,29;;2,04
2012-04-24;1,04;8,29;;1,54
2012-04-25;8,67;29,0;;2,96
2012-04-26;2,25;33,79;;7,96
2012-04-27;1,63;37,04;;4,3
2012-04-28;1,04;17,33;;1,79
2012-04-29;1,04;7,35;;1,04
2012-04-30;1,04;9,54;;1,0
2012-05-01;1,29;16,08;;1,67
2012-05-02;8,17;17,71;;2,46
2012-05-03;5,58;19,88;;4,04
2012-05-04;2,92;27,29;;4,63
2012-05-05;2,54;16,46;;4,46
2012-05-06;1,08;13,17;;4,13
2012-05-07;3,21;20,67;;3,13
2012-05-08;9,0;30,0;;4,63
2012-05-09;7,17;40,25;;6,3
2012-05-10;5,71;31,67;;4,08
2012-05-11;5,21;23,42;;2,5
2012-05-12;1,67;31,88;;3,96
2012-05-13;1,33;21,13;;1,54
2012-05-14;2,5;16,0;;1,72
2012-05-15;1,67;24,5;;3,67
2012-05-16;1,0;11,71;;1,0
2012-05-17;6,0;29,04;;1,0
2012-05-18;1,46;21,96;;1,04
2012-05-19;1,0;14,83;;1,63
2012-05-20;1,0;12,25;;2,42
2012-05-21;1,13;6,0;;1,36
2012-05-22;1,04;8,5;;
2012-05-23;1,04;14,92;;
2012-05-24;7,58;25,75;;1,0
2012-05-25;4,38;19,83;;1,13
2012-05-26;2,25;17,75;;1,0
2012-05-27;1,79;20,38;;1,92
2012-05-28;6,08;22,79;;1,83
2012-05-29;2,29;15,46;;1,58
2012-05-30;3,88;25,96;;2,29
2012-05-31;4,0;24,17;;3,83
2012-06-01;5,25;20,96;;2,29
2012-06-02;1,71;14,79;;2,33
2012-06-03;1,08;17,42;;2,21
2012-06-04;1,83;13,09;;2,17
2012-06-05;3,96;13,63;;1,25
2012-06-06;1,33;16,29;;1,13
2012-06-07;2,13;19,79;;1,0
2012-06-08;5,13;18,29;;1,04
2012-06-09;1,0;7,96;;1,08
2012-06-10;1,46;10,33;;1,0
2012-06-11;1,58;12,92;;1,04
2012-06-12;1,18;8,27;;1,05
2012-06-13;3,04;21,75;;1,0
2012-06-14;3,0;16,29;;1,0
2012-06-15;4,74;20,13;;1,0
2012-06-16;1,46;16,29;;1,0
2012-06-17;1,08;24,46;;1,0
2012-06-18;2,67;28,13;;1,0
2012-06-19;2,05;32,77;;1,08
2012-06-20;1,71;17,67;;1,42
2012-06-21;4,67;24,25;;2,33
2012-06-22;2,04;16,46;;1,0
2012-06-23;2,17;21,04;;1,58
2012-06-24;1,58;17,71;;1,0
2012-06-25;3,58;23,67;;1,0
2012-06-26;3,38;19,83;;1,04
2012-06-27;3,58;16,13;;1,0
2012-06-28;2,71;15,83;;1,21
2012-06-29;5,08;21,88;;3,67
2012-06-30;2,38;17,29;;2,88
2012-07-01;1,0;4,92;;1,0
2012-07-02;2,25;9,21;;1,0
2012-07-03;5,33;11,83;;1,0
2012-07-04;3,67;11,46;;1,04
2012-07-05;2,13;13,83;;1,0
2012-07-06;2,0;13,42;;1,13
2012-07-07;2,54;13,46;;1,0
2012-07-08;1,58;10,38;;1,13
2012-07-09;2,83;13,08;;1,75
2012-07-10;4,55;15,32;;1,0
2012-07-11;1,25;13,88;;1,0
2012-07-12;1,21;11,92;;1,0
2012-07-13;1,75;10,88;;1,0
2012-07-14;1,79;14,38;;1,0
2012-07-15;1,46;12,29;;1,0
2012-07-16;1,29;9,17;;1,0
2012-07-17;1,29;13,54;;1,0
2012-07-18;4,33;16,0;;1,0
2012-07-19;5,13;23,96;;1,0
2012-07-20;3,0;14,91;;1,0
2012-07-21;1,21;8,29;;1,0
2012-07-22;1,29;10,71;;1,0
2012-07-23;2,04;21,67;;1,38
2012-07-24;3,75;19,92;;1,0
2012-07-25;4,0;16,0;;1,0
2012-07-26;3,25;24,67;;1,0
2012-07-27;2,17;24,67;;1,0
2012-07-28;1,38;14,79;;1,0
2012-07-29;1,04;9,29;;1,0
2012-07-30;1,21;;;
2012-07-31;3,08;18,71;;1,0
2012-08-01;3,0;16,04;;1,0
2012-08-02;3,88;20,58;;1,0
2012-08-03;2,5;20,29;;5,0
2012-08-04;1,63;16,46;;9,04
2012-08-05;1,0;10,92;;6,0
2012-08-06;1,21;13,5;;2,29
2012-08-07;4,67;21,0;;2,63
2012-08-08;3,54;23,63;;1,9
2012-08-09;3,0;30,25;;3,0
2012-08-10;2,42;22,46;;9,25
2012-08-11;1,33;20,46;;12,17
2012-08-12;1,04;13,96;;9,96
2012-08-13;2,0;11,08;;9,46
2012-08-14;3,5;11,88;;7,21
2012-08-15;1,08;8,0;;4,96
2012-08-16;2,21;18,63;;5,42
2012-08-17;4,17;25,38;;6,54
2012-08-18;1,88;22,17;;
2012-08-19;1,58;20,21;;
2012-08-20;4,78;16,39;;1,0
2012-08-21;3,04;17,08;;1,0
2012-08-22;3,21;26,46;;1,0
2012-08-23;3,13;26,63;;1,0
2012-08-24;3,75;18,33;;1,0
2012-08-25;1,46;12,92;;1,0
2012-08-26;1,0;4,0;;1,0
2012-08-27;2,58;14,0;;1,0
2012-08-28;1,13;9,5;;1,0
2012-08-29;2,57;14,29;;1,0
2012-08-30;1,04;15,5;;1,0
2012-08-31;1,0;8,54;;1,0
2012-09-01;1,0;8,67;;1,0
2012-09-02;1,0;10,58;;1,0
2012-09-03;2,21;21,0;;1,0
2012-09-04;1,88;17,83;;1,0
2012-09-05;1,25;17,5;;1,0
2012-09-06;1,42;12,63;;1,0
2012-09-07;2,63;26,42;;1,46
2012-09-08;1,17;14,13;;3,58
2012-09-09;1,0;5,71;;5,54
2012-09-10;1,17;12,08;;5,92
2012-09-11;1,0;9,96;;6,0
2012-09-12;4,0;15,33;;4,0
2012-09-13;1,17;11,58;;1,0
2012-09-14;6,0;32,54;;1,0
2012-09-15;2,04;31,92;;1,0
2012-09-16;1,46;18,04;;1,0
2012-09-17;4,04;18,79;;1,0
2012-09-18;7,63;26,58;;1,0
2012-09-19;1,29;14,88;;1,71
2012-09-20;4,88;15,58;;2,59
2012-09-21;6,42;19,83;;1,17
2012-09-22;1,88;16,71;;1,96
2012-09-23;1,0;11,58;;1,96
2012-09-24;1,04;6,54;;1,33
2012-09-25;2,46;14,25;;1,08
2012-09-26;5,71;20,5;;1,39
2012-09-27;1,79;25,0;;1,13
2012-09-28;3,83;27,58;;1,21
2012-09-29;1,04;15,42;;1,21
2012-09-30;1,0;9,58;;1,79
2012-10-01;1,58;15,13;;1,42
2012-10-02;5,42;24,83;;2,88
2012-10-03;7,21;23,04;;3,33
2012-10-04;2,08;18,17;;1,0
2012-10-05;4,96;24,21;;1,0
2012-10-06;1,92;21,5;;1,0
2012-10-07;1,38;15,63;;1,0
2012-10-08;5,88;26,96;;1,0
2012-10-09;10,75;19,79;;1,0
2012-10-10;4,96;18,25;;1,04
2012-10-11;4,58;12,67;;1,0
2012-10-12;2,38;19,46;;1,0
2012-10-13;1,04;11,67;;1,0
2012-10-14;2,0;11,46;;1,0
2012-10-15;1,0;6,46;;1,0
2012-10-16;5,88;21,88;;1,0
2012-10-17;8,79;28,38;;1,0
2012-10-18;1,42;20,13;;1,0
2012-10-19;1,08;15,88;;1,0
2012-10-20;1,0;9,96;;1,0
2012-10-21;1,0;9,17;;1,0
2012-10-22;1,83;20,38;;1,0
2012-10-23;6,63;21,92;;1,0
2012-10-24;8,0;24,54;;1,0
2012-10-25;12,54;36,54;;1,0
2012-10-26;1,13;17,63;;1,0
2012-10-27;1,0;7,21;;1,0
2012-10-28;1,0;3,38;;1,0
2012-10-29;1,13;18,88;;1,0
2012-10-30;12,25;56,58;;1,0
2012-10-31;1,0;11,96;;1,0
2012-11-01;1,0;12,67;;1,0
2012-11-02;8,38;21,38;;1,0
2012-11-03;4,46;32,67;;1,08
2012-11-04;1,46;20,04;;1,0
2012-11-05;1,04;7,13;;1,42
2012-11-06;7,08;37,38;;1,96
2012-11-07;2,88;44,88;;2,21
