date;no;no2;nox;pm10;pm2.5;so2
2012-01-01;23,58;30,67;66,38;;;2,83
2012-01-02;15,83;26,79;50,58;;;1,54
2012-01-03;46,92;49,79;121,29;;;3,25
2012-01-04;63,92;52,88;150,42;;;5,08
2012-01-05;23,92;36,04;72,33;;;3,17
2012-01-06;20,0;32,67;62,71;;;3,92
2012-01-07;32,33;44,58;93,71;;;3,5
2012-01-08;14,25;30,75;52,33;;;1,75
2012-01-09;31,08;43,13;90,46;;;3,67
2012-01-10;87,59;56,55;190,27;;;6,65
2012-01-11;105,25;60,88;221,54;;;7,25
2012-01-12;82,63;55,58;181,5;;;4,83
2012-01-13;29,29;40,38;85,08;;;2,46
2012-01-14;20,79;34,38;65,92;;;1,83
2012-01-15;18,0;34,58;61,63;;;2,29
2012-01-16;80,54;66,83;189,92;;;3,67
2012-01-17;117,63;71,58;251,25;;;2,83
2012-01-18;111,0;60,96;230,08;;;4,42
2012-01-19;64,63;52,38;151,38;;;4,08
2012-01-20;57,83;53,04;140,88;;;3,63
2012-01-21;23,75;41,75;77,67;;;2,13
2012-01-22;23,5;33,63;69,5;;;3,08
2012-01-23;34,91;46,77;100,27;;;3,48
2012-01-24;63,54;51,88;148,79;;;2,67
2012-01-25;95,58;63,13;208,88;;;4,25
2012-01-26;72,96;63,67;174,71;;;3,63
2012-01-27;116,38;67,0;244,42;;;4,17
2012-01-28;34,46;40,67;93,13;;;2,63
2012-01-29;20,5;37,25;68,0;;;2,75
2012-01-30;65,25;56,83;156,33;;;3,83
2012-01-31;66,5;61,71;163,25;;;4,46
2012-02-01;98,5;66,71;216,88;;;3,75
2012-02-02;25,5;44,83;83,29;;;1,79
2012-02-03;26,83;42,88;83,29;;;2,25
2012-02-04;8,67;32,96;45,88;;;1,88
2012-02-05;19,29;54,29;83,5;;;3,71
2012-02-06;56,5;58,73;144,91;;;4,7
2012-02-07;69,13;59,71;165,08;;;4,54
2012-02-08;30,58;54,0;100,46;;;1,88
2012-02-09;15,92;38,71;62,67;;;2,0
2012-02-10;30,96;44,08;90,83;;;3,25
2012-02-11;12,67;37,42;56,58;;;2,71
2012-02-12;11,04;37,58;54,5;;;2,83
2012-02-13;54,5;61,38;144,17;;;3,5
2012-02-14;43,54;59,71;126,08;;;3,92
2012-02-15;48,92;53,83;127,96;;;3,25
2012-02-16;47,63;56,17;128,75;;;5,0
2012-02-17;44,33;56,21;123,54;;;5,42
2012-02-18;32,71;43,29;92,88;;;3,75
2012-02-19;14,17;36,96;58,46;;;2,08
2012-02-20;30,58;48,5;94,88;;;1,83
2012-02-21;65,58;64,38;164,33;;;3,29
2012-02-22;60,21;71,83;163,54;;;4,92
2012-02-23;38,14;66,86;124,82;;;5,14
2012-02-24;50,54;85,63;162,46;;;7,58
2012-02-25;;76,04;140,08;;;6,13
2012-02-26;18,63;63,88;91,83;;;4,63
2012-02-27;58,21;62,17;150,67;;;3,08
2012-02-28;56,29;58,63;144,25;;;3,17
2012-02-29;62,92;77,08;172,79;;;3,75
2012-03-01;46,25;75,67;146,21;;;4,71
2012-03-02;28,67;49,79;93,38;;;3,21
2012-03-03;13,92;48,08;69,13;;;2,88
2012-03-04;10,17;35,04;50,25;;;2,08
2012-03-05;13,46;35,58;55,92;;;2,29
2012-03-06;27,67;60,04;101,71;;;2,92
2012-03-07;27,96;61,29;103,79;;;2,5
2012-03-08;47,73;67,82;140,55;;;4,32
2012-03-09;36,04;59,5;114,38;;;2,79
2012-03-10;13,75;52,96;73,58;;;1,21
2012-03-11;11,58;45,58;63,0;;;2,21
2012-03-12;33,63;57,79;109,0;;;4,83
2012-03-13;36,5;73,75;129,13;;;5,0
2012-03-14;52,13;88,21;167,83;;;4,17
2012-03-15;51,58;84,04;162,75;;;4,17
2012-03-16;48,5;76,25;149,92;;;3,46
2012-03-17;21,17;57,58;89,54;;;2,75
2012-03-18;4,96;24,21;31,42;;;2,25
2012-03-19;8,08;30,88;43,04;;;2,25
2012-03-20;26,5;40,58;80,67;;;1,75
2012-03-21;16,57;52,29;77,07;;;3,71
2012-03-22;17,0;49,5;75,21;;;1,92
2012-03-23;35,76;55,19;109,43;;;2,18
2012-03-24;21,38;43,58;75,92;;;2,33
2012-03-25;8,09;35,68;47,73;;;1,86
2012-03-26;33,58;59,21;110,08;;;3,96
2012-03-27;32,75;58,33;107,96;;;3,63
2012-03-28;29,63;73,25;118,38;;;2,33
2012-03-29;21,83;60,08;93,08;;;3,08
2012-03-30;21,83;62,38;95,38;;;3,71
2012-03-31;24,46;57,58;94,5;;;2,54
2012-04-01;8,17;42,67;54,63;;;1,54
2012-04-02;36,5;55,13;110,63;;;2,92
2012-04-03;47,33;57,1;129,1;;;2,57
2012-04-04;26,96;54,13;94,92;;;1,92
2012-04-05;26,38;48,38;88,38;;;3,13
2012-04-06;10,43;21,7;37,22;;;3,17
