date;no;no2;nox;so2
2013-01-01;3,17;17,25;20,38;2,0
2013-01-02;9,92;28,08;42,0;2,21
2013-01-03;4,29;27,42;32,67;2,38
2013-01-04;2,54;18,21;20,33;2,42
2013-01-05;1,38;12,33;12,79;2,25
2013-01-06;2,54;13,5;15,88;2,42
2013-01-07;14,67;30,29;51,54;2,42
2013-01-08;8,5;33,83;45,71;3,04
2013-01-09;4,96;27,42;33,79;2,92
2013-01-10;23,83;46,17;82,13;2,63
2013-01-11;6,17;35,13;43,92;3,0
2013-01-12;3,75;29,38;33,79;2,88
2013-01-13;3,42;20,0;23,13;2,08
2013-01-14;1,88;20,04;21,25;2,13
2013-01-15;4,88;21,88;27,5;2,21
2013-01-16;30,88;34,42;80,0;2,54
2013-01-17;5,13;29,46;35,5;2,42
2013-01-18;6,63;40,17;49,17;2,33
2013-01-19;5,46;30,21;37,21;1,83
2013-01-20;1,29;12,13;11,46;1,46
2013-01-21;12,46;24,17;41,58;2,21
2013-01-22;9,79;31,25;44,58;2,75
2013-01-23;1,13;13,92;13,79;2,0
2013-01-24;4,55;30,18;35,36;2,05
2013-01-25;1,96;20,63;20,96;2,67
2013-01-26;3,38;26,75;29,88;2,54
2013-01-27;6,33;31,33;39,38;2,42
2013-01-28;2,25;19,92;21,46;1,54
2013-01-29;6,17;31,67;39,58;2,42
2013-01-30;11,54;34,88;50,96;3,21
2013-01-31;17,25;37,21;63,08;3,42
2013-02-01;6,54;29,04;38,21;3,13
2013-02-02;1,08;10,21;9,25;1,58
2013-02-03;1,13;6,54;5,17;2,25
2013-02-04;4,71;25,42;30,63;2,67
2013-02-05;4,13;28,63;33,92;3,5
2013-02-06;1,13;10,79;9,75;1,96
2013-02-07;1,63;13,88;13,29;2,5
2013-02-08;5,42;30,79;36,96;2,79
2013-02-09;1,71;22,54;23,0;2,63
2013-02-10;3,54;27,42;30,83;2,96
2013-02-11;1,21;12,79;11,67;2,17
2013-02-12;1,75;15,08;15,21;2,21
2013-02-13;3,38;29,33;32,92;3,04
2013-02-14;10,21;38,83;53,38;2,75
2013-02-15;4,33;30,83;35,96;2,83
2013-02-16;1,88;20,0;20,5;1,38
2013-02-17;2,29;31,92;33,54;1,13
2013-02-18;9,42;27,96;40,46;1,25
2013-02-19;4,38;28,75;33,42;1,5
2013-02-20;3,33;33,71;37,04;2,17
2013-02-21;11,13;41,71;57,13;2,0
2013-02-22;6,79;35,21;43,83;1,04
2013-02-23;1,29;14,67;13,58;1,75
2013-02-24;1,04;11,42;9,5;2,21
2013-02-25;5,46;37,38;43,83;2,92
2013-02-26;3,79;37,13;41,54;2,96
2013-02-27;6,92;31,63;40,13;3,75
2013-02-28;1,42;9,88;9,04;1,63
2013-03-01;1,21;11,08;9,88;1,13
2013-03-02;2,25;21,56;22,88;2,38
2013-03-04;2,09;12,73;13,0;1,0
2013-03-05;1,27;9,59;9,18;1,05
2013-03-06;6,96;32,33;42,42;1,33
2013-03-07;6,08;28,38;37,17;1,75
2013-03-08;2,71;21,04;24,54;2,0
2013-03-09;2,63;18,54;22,08;2,25
2013-03-10;1,54;13,83;15,58;2,63
2013-03-11;1,79;18,5;20,5;2,46
2013-03-12;1,88;17,67;19,88;2,29
2013-03-13;6,04;35,42;43,58;2,04
2013-03-14;1,63;14,25;15,33;2,58
2013-03-15;3,29;23,08;26,92;3,33
2013-03-16;2,88;24,71;28,54;3,0
2013-03-17;1,58;19,04;20,83;2,0
2013-03-18;2,33;24,5;27,25;2,08
2013-03-19;8,58;35,54;47,92;2,88
2013-03-20;4,67;38,54;45,0;2,21
2013-03-21;3,67;29,13;34,08;2,79
2013-03-22;3,13;29,5;33,67;2,38
2013-03-23;4,33;31,88;37,92;2,29
2013-03-24;1,58;24,54;26,33;2,29
2013-03-25;3,67;18,46;23,38;1,71
2013-03-26;2,58;19,25;22,75;2,42
2013-03-27;3,88;26,0;31,33;2,17
2013-03-28;5,0;20,46;27,46;2,13
2013-03-29;1,54;13,17;15,13;1,75
2013-03-30;1,44;8,94;10,39;1,67
2013-04-02;4,88;10,13;17,25;1,88
2013-04-09;7,1;12,0;22,6;2,0
2013-04-10;6,17;17,08;25,38;3,29
2013-04-11;19,63;27,92;57,04;4,38
2013-04-12;6,67;11,92;21,13;3,04
2013-04-13;6,96;18,08;27,79;4,08
2013-04-14;5,5;21,5;29,21;4,33
2013-04-15;10,13;32,0;46,71;5,79
2013-04-16;10,25;27,17;42,08;4,83
2013-04-17;9,71;27,21;41,5;4,54
2013-04-18;10,83;29,46;45,38;4,42
2013-04-19;4,0;22,21;27,75;2,96
2013-04-20;3,92;10,5;15,46;3,29
2013-04-21;1,71;12,54;14,04;3,21
2013-04-22;5,29;14,96;22,08;3,54
2013-04-23;7,0;21,67;31,46;4,58
2013-04-24;7,92;17,13;28,46;2,88
2013-04-25;1,09;6,55;6,55;2,18
2013-04-26;1,38;16,75;18,04;1,83
2013-04-27;1,38;13,17;14,25;1,13
2013-04-28;1,0;11,67;11,75;1,17
2013-04-29;2,33;20,38;23,25;1,08
2013-04-30;4,0;18,13;23,46;1,92
2013-05-01;3,46;12,42;16,88;1,96
2013-05-02;5,0;20,54;27,5;2,79
2013-05-03;6,92;17,46;27,17;2,46
2013-05-04;4,46;14,42;20,54;3,17
2013-05-05;4,13;14,79;20,29;2,71
2013-05-06;6,13;21,54;30,42;2,88
2013-05-07;14,08;30,42;51,38;3,42
2013-05-08;9,25;38,92;52,58;4,92
2013-05-09;8,04;23,13;35,04;2,88
2013-05-10;2,25;14,29;17,17;2,17
2013-05-11;6,46;8,38;17,67;2,29
2013-05-12;3,58;6,92;11,46;2,29
2013-05-13;7,91;13,27;24,64;2,45
2013-05-14;2,38;25,25;27,67;1,83
2013-05-15;4,79;24,33;30,13;1,54
2013-05-16;2,38;15,38;17,21;1,58
2013-05-17;4,38;20,17;25,58;2,29
2013-05-18;1,0;10,33;9,67;1,71
2013-05-19;1,21;7,79;7,54;1,79
2013-05-20;1,75;12,92;13,67;1,46
2013-05-21;7,33;19,83;29,92;1,96
2013-05-22;4,67;12,58;18,63;2,17
2013-05-23;3,96;11,25;15,96;2,54
2013-05-24;2,38;12,71;14,83;2,54
2013-05-25;2,46;9,33;11,5;2,25
2013-05-26;3,63;9,04;13,04;1,96
2013-05-27;4,29;15,75;21,0;1,96
2013-05-28;4,08;19,29;24,17;2,08
2013-05-29;4,04;13,08;18,08;2,17
2013-05-30;4,63;15,75;21,79;2,54
2013-05-31;4,17;17,75;22,71;2,63
2013-06-01;3,08;14,83;18,25;2,54
2013-06-02;2,64;10,86;13,21;2,64
2013-06-03;1,9;17,9;19,7;2,4
2013-06-04;2,13;18,25;19,88;2,83
2013-06-05;2,92;26,67;29,79;2,54
2013-06-06;4,89;29,11;35,61;3,83
2013-06-10;1,43;17,38;32,38;1,0
2013-06-11;6,17;36,79;45,5;3,5
2013-06-12;2,83;23,25;26,63;3,04
2013-06-13;2,21;26,67;29,17;3,58
2013-06-14;2,0;15,96;18,0;2,42
2013-06-15;3,38;26,46;30,71;3,29
2013-06-16;2,13;17,29;19,5;3,04
2013-06-17;2,25;14,83;16,79;2,25
2013-06-18;1,46;14,08;14,96;1,54
2013-06-19;1,67;12,63;14,13;2,0
2013-06-20;1,88;16,04;17,75;2,54
2013-06-21;3,17;19,88;23,54;2,83
2013-06-22;1,5;11,17;12,21;2,29
2013-06-23;1,29;13,0;13,17;2,42
2013-06-24;1,04;7,96;7,71;2,21
2013-06-25;2,71;13,46;16,25;2,33
2013-06-26;4,21;18,21;23,33;2,71
2013-06-27;1,67;13,21;14,29;2,79
2013-06-28;1,79;15,63;17,08;2,46
2013-06-29;1,17;11,67;11,83;2,33
2013-06-30;1,21;11,33;11,88;2,0
2013-07-01;2,79;17,46;20,96;2,5
2013-07-02;4,75;19,54;26,54;2,29
2013-07-03;4,29;15,58;21,79;1,92
2013-07-04;4,39;13,83;19,65;2,3
2013-07-05;5,25;16,92;24,0;3,17
