date;no;no2;nox;o3;pm10;so2
2012-01-01;17,29;35,71;64,92;15,54;19,38;1,87
2012-01-02;12,75;30,38;50,29;27,25;21,5;2,61
2012-01-03;39,92;51,58;113,33;13,33;34,37;2,48
2012-01-04;41,46;48,63;113,67;7,83;35,29;3,96
2012-01-05;32,96;42,63;94,04;22,08;38,08;1,57
2012-01-06;15,13;26,33;48,88;36,88;30,96;1,35
2012-01-07;28,21;45,42;90,25;12,04;39,29;3,87
2012-01-08;15,33;33,17;57,25;13,96;25,83;2,83
2012-01-09;42,58;46,04;111,83;6,96;29,54;2,0
2012-01-10;87,14;60,24;196,24;6,52;43,63;2,35
2012-01-11;82,75;57,96;185,13;6,75;51,46;2,52
2012-01-12;88,0;62,92;198,17;4,71;47,92;2,0
2012-01-13;46,21;55,46;127,5;5,88;31,71;1,7
2012-01-14;30,88;43,54;92,13;7,25;32,29;1,87
2012-01-15;13,63;35,42;56,92;13,63;31,13;1,48
2012-01-16;35,67;53,58;109,54;14,67;34,92;2,48
2012-01-17;46,46;63,83;135,75;14,63;42,04;2,13
2012-01-18;68,38;53,96;159,0;9,13;46,08;2,22
2012-01-19;61,13;58,42;153,5;7,71;41,04;2,87
2012-01-20;54,5;58,17;147,0;7,38;40,08;2,65
2012-01-21;22,67;47,33;82,0;13,63;30,79;2,26
2012-01-22;23,0;36,42;72,38;14,33;27,36;2,78
2012-01-23;38,14;51,64;111,77;7,18;28,13;12,45
2012-01-24;44,96;48,54;121,08;10,71;32,13;8,87
2012-01-25;68,96;57,5;163,33;8,08;47,38;13,91
2012-01-26;63,96;58,5;157,13;8,63;44,79;9,91
2012-01-27;93,13;69,67;212,0;4,88;57,0;18,0
2012-01-28;33,25;43,13;94,96;5,25;33,0;6,65
2012-01-29;18,46;36,79;65,42;14,92;23,5;4,87
2012-01-30;50,96;58,65;139,43;14,54;41,3;13,62
2012-01-31;55,83;60,08;146,29;10,71;47,21;10,74
2012-02-01;91,71;68,0;208,67;4,88;42,38;7,17
2012-02-02;23,25;47,79;88,42;17,42;24,79;4,0
2012-02-03;18,75;42,83;71,92;30,79;34,0;4,96
2012-02-04;8,57;31,22;44,48;53,33;19,29;5,96
2012-02-05;16,79;58,67;86,21;19,13;29,17;10,43
2012-02-06;46,45;60,65;132,9;9,57;31,92;10,25
2012-02-07;19,25;37,67;66,63;45,92;21,5;4,35
2012-02-08;25,42;59,46;98,71;24,33;31,67;7,43
2012-02-09;16,75;44,33;72,67;28,0;30,79;5,3
2012-02-10;24,42;47,13;85,38;29,33;40,54;7,26
2012-02-11;10,63;36,04;52,54;42,75;28,71;4,13
2012-02-12;6,52;36,26;48,7;42,21;25,54;5,61
2012-02-13;44,96;63,25;134,21;23,0;47,23;7,91
