date;c6h6;co;no;no2;nox;o3;so2
2012-01-01;;0,35;13,58;18,13;;29,17;1,46
2012-01-02;;0,31;12,67;16,88;;39,67;1,92
2012-01-03;;0,31;11,5;22,88;;31,18;2,3
2012-01-04;;0,33;19,5;25,29;;17,38;3,88
2012-01-05;;0,36;27,08;34,33;;23,92;4,04
2012-01-06;;0,28;8,96;13,67;;48,13;2,21
2012-01-07;;0,31;11,08;15,58;;35,96;2,04
2012-01-08;;0,28;8,38;11,17;;31,79;1,71
2012-01-09;;0,29;14,75;21,08;;22,42;2,21
2012-01-10;;0,43;33,33;33,46;;14,79;4,25
2012-01-11;;0,48;32,13;35,71;;13,29;3,42
2012-01-12;;0,51;39,86;36,67;;14,95;3,88
2012-01-13;;0,44;30,71;28,08;;10,67;3,58
2012-01-14;;0,33;13,75;14,21;;23,67;3,08
2012-01-15;;0,34;9,38;10,67;;29,33;3,5
2012-01-16;;0,3;10,46;20,29;;35,17;3,83
2012-01-17;;0,33;11,71;17,46;;46,54;2,14
2012-01-18;;0,39;20,0;18,88;;21,46;2,17
2012-01-19;;0,55;48,14;41,36;;14,17;4,96
2012-01-20;;0,39;23,13;34,21;;17,25;3,29
2012-01-21;;0,41;16,79;35,33;;20,92;3,67
2012-01-22;;0,35;9,17;20,96;;28,83;3,08
2012-01-23;;0,37;17,75;30,38;;21,21;3,75
2012-01-24;;0,32;7,58;24,83;;27,43;3,17
2012-01-25;;0,41;19,08;35,46;;19,79;4,29
2012-01-26;;0,46;26,29;41,63;;15,63;5,25
2012-01-27;;0,36;11,17;41,54;;22,29;3,63
2012-01-28;;0,4;11,29;31,29;;11,42;2,83
2012-01-29;;0,38;6,88;25,04;;28,21;3,13
2012-01-30;;0,36;10,38;33,21;;29,67;3,88
2012-01-31;;0,43;23,88;42,63;;19,5;4,92
2012-02-01;;0,48;29,0;42,36;;10,29;4,41
2012-02-02;;0,36;9,96;24,38;;30,46;3,29
2012-02-03;;0,31;5,42;17,83;;50,92;2,67
2012-02-04;;0,23;2,33;13,67;;71,63;1,96
2012-02-05;;0,3;7,5;31,21;;42,04;3,46
2012-02-06;;0,37;17,21;35,71;;31,58;3,38
2012-02-07;;0,28;8,75;30,0;;54,67;2,96
2012-02-08;;0,3;7,38;30,04;;51,25;3,08
2012-02-09;;0,33;6,75;21,54;;50,25;2,33
2012-02-10;;0,34;6,88;21,5;;57,73;2,9
2012-02-11;;0,25;3,63;12,58;;77,54;2,42
2012-02-12;;0,32;4,58;21,83;;60,33;3,13
2012-02-13;;0,4;13,33;35,54;;52,0;4,08
2012-02-14;;0,37;8,13;33,21;;43,54;3,33
2012-02-15;;0,38;11,83;33,25;;38,58;2,42
2012-02-16;;0,45;26,64;42,05;;34,04;4,0
2012-02-17;;0,38;13,42;30,88;;41,38;3,0
2012-02-18;;0,41;13,58;29,83;;42,46;3,25
2012-02-19;;0,41;9,83;27,33;;41,58;2,71
2012-02-20;;0,36;12,75;30,0;;46,92;2,25
2012-02-21;;0,37;11,42;35,08;;41,79;2,83
2012-02-22;;0,48;23,33;47,5;;34,21;4,94
2012-02-23;;0,53;37,25;54,83;;36,77;6,5
2012-02-24;;0,55;31,46;53,29;;25,46;6,08
2012-02-25;;0,52;;;;34,17;6,08
2012-02-26;;0,5;13,29;38,83;;41,13;5,71
2012-02-27;;0,47;18,58;27,5;;49,17;5,25
2012-02-28;;0,5;20,96;28,5;;42,38;9,5
2012-02-29;;0,54;19,83;35,21;;46,25;
2012-03-01;;0,58;23,29;39,42;;36,65;
2012-03-02;;0,45;17,0;29,17;;59,54;4,18
2012-03-03;;0,31;8,17;26,96;;65,46;3,58
2012-03-04;;0,3;6,5;25,5;;46,25;3,54
2012-03-05;;0,21;2,5;12,36;;70,08;2,54
2012-03-06;;0,23;5,21;17,92;;65,65;2,55
2012-03-07;;0,24;3,96;14,54;;71,75;2,13
2012-03-08;;0,25;4,67;16,54;;67,5;3,58
2012-03-09;;0,25;6,63;22,83;;59,42;2,83
2012-03-10;;0,28;8,38;23,38;;69,58;4,25
2012-03-11;;0,31;7,63;21,79;;57,63;3,75
2012-03-12;;0,33;14,33;29,21;;47,17;4,5
2012-03-13;;0,37;17,0;35,63;;50,79;4,92
2012-03-14;;0,42;16,46;48,25;;38,48;4,71
2012-03-15;;0,41;17,5;40,33;;47,96;4,04
2012-03-16;;0,37;19,58;43,92;;48,83;4,71
2012-03-17;;0,31;8,88;20,08;;68,75;3,88
2012-03-18;;0,25;5,92;7,96;;73,0;2,96
2012-03-19;;0,21;7,46;7,33;;81,21;2,58
2012-03-20;;0,22;8,71;13,5;;71,42;2,96
2012-03-21;;0,27;9,63;20,17;;66,33;2,75
2012-03-22;;0,26;10,13;18,67;;68,5;3,0
2012-03-23;;0,32;11,42;27,74;;49,54;3,57
2012-03-24;;0,3;6,29;24,83;;61,54;3,63
2012-03-25;;0,31;7,23;22,59;;64,41;3,91
2012-03-26;;0,34;12,04;36,04;;63,88;4,75
2012-03-27;;0,31;6,96;30,5;;87,42;4,25
2012-03-28;;0,33;11,08;28,67;;94,91;4,21
2012-03-29;;0,33;7,42;27,0;;91,38;4,63
2012-03-30;;0,38;17,0;41,5;;81,5;5,38
2012-03-31;;0,35;8,33;30,58;;78,96;5,42
2012-04-01;;0,32;8,33;28,58;;73,96;5,79
2012-04-02;;0,32;12,45;30,09;;70,67;5,0
2012-04-03;;0,33;15,25;45,96;;44,95;2,92
2012-04-04;;0,31;9,5;34,88;;52,29;1,08
2012-04-05;;0,3;9,55;30,91;;49,75;1,5
2012-04-06;;0,26;7,17;7,17;;65,21;1,13
2012-04-07;;0,22;4,75;4,04;;89,79;1,0
2012-04-08;;0,23;5,71;4,88;;89,42;1,04
2012-04-09;;0,24;6,83;4,67;;82,29;1,0
2012-04-10;;0,3;13,63;19,58;;63,04;1,5
2012-04-11;;0,23;5,95;12,05;;84,32;1,29
2012-04-12;;0,35;13,5;46,0;;38,96;7,5
2012-04-13;;0,28;3,33;20,21;;61,04;4,5
2012-04-14;;0,22;3,17;10,5;;80,58;2,83
2012-04-15;;0,23;2,75;9,63;;80,92;2,29
2012-04-16;;0,23;3,67;10,96;;101,46;1,54
2012-04-17;;0,21;3,46;8,13;;109,54;1,46
2012-04-18;;0,3;6,79;26,75;;78,83;3,67
2012-04-19;;0,25;3,38;11,79;;91,75;2,21
2012-04-20;;0,28;4,04;14,04;;87,58;1,63
2012-04-21;;0,3;4,21;15,17;;87,46;2,13
2012-04-22;;0,27;2,88;9,29;;87,67;1,08
2012-04-23;;0,3;3,88;11,33;;83,75;2,29
2012-04-24;;0,23;3,25;11,67;;98,46;2,46
2012-04-25;;0,33;11,91;23,87;;76,77;2,5
2012-04-26;;0,32;5,52;23,96;;80,75;3,05
2012-04-27;;0,35;6,04;34,46;;57,75;3,42
2012-04-28;;0,3;2,21;11,96;;94,13;1,92
2012-04-29;;0,26;1,88;4,96;;102,38;1,13
2012-04-30;;0,25;1,71;6,79;;103,83;1,04
2012-05-01;;0,24;1,96;5,75;;93,58;1,04
2012-05-02;;0,3;2,79;10,83;;73,71;1,04
2012-05-03;;0,29;4,58;10,92;;85,42;1,29
2012-05-04;;0,32;3,5;14,33;;83,08;1,92
2012-05-05;;0,3;3,25;11,38;;76,96;2,17
2012-05-06;;0,28;1,96;10,29;;78,0;1,46
2012-05-07;;0,27;3,18;10,36;;85,23;1,77
2012-05-08;;0,32;4,92;21,63;;81,71;2,92
2012-05-09;;0,32;6,0;26,5;;77,67;3,08
2012-05-10;;0,28;4,71;21,5;;86,13;1,63
2012-05-11;;0,29;7,58;26,71;;80,25;2,46
2012-05-12;;0,31;4,92;28,79;;74,17;4,67
2012-05-13;;0,31;2,42;20,25;;66,25;2,25
2012-05-14;;0,31;3,08;12,63;;88,13;2,68
2012-05-15;;0,3;3,21;14,13;;104,75;3,17
2012-05-16;;0,25;1,96;9,17;;98,0;2,54
2012-05-17;;0,29;2,17;11,79;;85,92;2,5
2012-05-18;;0,31;3,75;23,46;;83,79;3,54
2012-05-19;;0,31;1,92;11,33;;114,5;3,46
2012-05-20;;0,27;1,79;9,75;;81,42;3,58
2012-05-21;;0,21;1,83;4,38;;82,57;2,36
2012-05-22;;0,25;8,56;27,28;;67,79;1,57
2012-05-23;;0,27;1,54;15,79;;70,08;2,04
2012-05-24;;0,26;2,88;17,75;;81,96;2,75
2012-05-25;;0,28;3,83;20,71;;86,71;3,46
2012-05-26;;0,31;1,13;12,42;;91,29;2,88
2012-05-27;;0,26;1,63;14,71;;82,38;3,38
2012-05-28;;0,29;2,0;15,29;;76,5;3,17
2012-05-29;;0,3;2,46;15,54;;83,88;3,46
2012-05-30;;0,29;2,71;18,0;;81,42;4,05
2012-05-31;;0,3;2,71;17,58;;89,75;2,0
2012-06-01;;0,3;3,96;18,79;;94,13;1,29
2012-06-02;;0,3;1,29;17,13;;97,33;1,33
2012-06-03;;0,3;1,29;14,25;;90,5;1,46
2012-06-04;;0,32;3,15;10,6;;55,87;1,08
2012-06-05;;0,3;2,09;7,43;;73,67;1,13
2012-06-06;;0,3;1,42;8,5;;75,46;1,21
2012-06-07;;0,33;2,38;13,75;;77,92;2,0
2012-06-08;;0,31;2,25;13,29;;73,08;1,88
2012-06-09;;0,25;1,46;5,71;;87,96;1,75
2012-06-10;;0,27;1,13;6,5;;84,5;1,42
2012-06-11;;0,26;2,71;9,21;;60,71;2,08
2012-06-12;;0,23;1,75;11,13;;77,13;1,96
2012-06-13;;0,25;2,46;13,83;;66,25;1,67
2012-06-14;;0,25;1,77;11,32;;61,33;1,23
2012-06-15;;0,28;3,83;17,25;;66,33;1,17
2012-06-16;;0,25;1,67;11,08;;78,5;1,0
2012-06-17;;0,29;2,63;18,25;;69,13;1,67
2012-06-18;;0,29;3,75;21,38;;68,38;1,92
2012-06-19;;0,34;4,46;37,83;;64,57;2,83
2012-06-20;;0,31;4,33;25,83;;80,54;2,63
2012-06-21;;0,31;2,17;18,04;;83,42;1,71
2012-06-22;;0,29;3,46;16,5;;79,5;1,75
2012-06-23;;0,27;2,46;18,33;;82,79;3,08
2012-06-24;;0,27;1,21;11,29;;98,58;3,17
2012-06-25;;0,28;3,21;17,08;;93,58;2,21
2012-06-26;;0,29;3,58;15,92;;88,42;1,92
2012-06-27;;0,27;3,52;19,05;;78,08;2,83
2012-06-28;;0,32;2,79;13,0;;72,54;1,67
2012-06-29;;0,33;4,67;21,17;;49,79;1,9
2012-06-30;;0,3;2,0;16,88;;54,83;
2012-07-01;;0,32;1,79;10,0;;55,92;
2012-07-02;;0,23;2,08;10,88;;63,75;
2012-07-03;;0,25;2,25;12,33;;62,38;1,0
2012-07-04;;0,26;1,46;8,75;;64,83;1,29
2012-07-05;;0,29;2,58;18,54;;55,86;1,46
2012-07-06;;0,25;4,04;19,0;;57,92;1,25
2012-07-07;;0,23;2,21;16,5;;52,83;1,17
2012-07-08;;0,24;1,96;13,04;;50,5;1,0
2012-07-09;;0,25;2,32;11,05;;59,67;1,0
2012-07-10;;0,29;3,29;12,13;;48,58;1,0
2012-07-11;;0,25;2,0;11,5;;61,0;1,04
2012-07-12;;0,22;2,0;8,38;;76,42;1,0
2012-07-13;;0,23;1,58;4,71;;63,71;1,0
2012-07-14;;0,27;2,04;8,38;;58,63;1,04
2012-07-15;;0,2;1,17;4,92;;65,04;1,0
2012-07-16;;0,2;3,25;7,92;;60,63;1,18
2012-07-17;;0,25;4,42;12,04;;50,43;1,54
2012-07-18;;0,25;3,21;15,13;;67,92;2,13
2012-07-19;;0,25;2,5;16,88;;61,83;2,17
2012-07-20;;0,26;2,88;12,54;;64,21;2,38
2012-07-21;;0,2;1,21;5,63;;68,88;2,04
2012-07-22;;0,21;1,54;5,83;;82,54;2,25
2012-07-23;;0,31;2,78;16,35;;81,96;2,63
2012-07-24;;0,23;2,17;11,21;;86,46;2,79
2012-07-25;;0,26;2,58;11,0;;88,0;1,92
2012-07-26;;0,27;2,67;15,38;;82,83;2,26
2012-07-27;;0,28;3,88;28,54;;69,42;2,79
2012-07-28;;0,3;1,63;13,08;;79,13;2,5
2012-07-29;;0,26;1,08;4,5;;78,42;2,08
2012-07-30;;0,27;2,21;12,75;;59,29;2,0
2012-07-31;;0,31;2,38;9,67;;56,46;2,21
2012-08-01;;0,28;2,46;7,75;;50,91;2,42
2012-08-02;;0,29;2,5;15,88;;55,0;2,21
2012-08-03;;0,3;3,46;18,08;;74,92;3,42
2012-08-04;;0,28;2,46;10,58;;92,08;5,17
2012-08-05;;0,3;2,04;7,71;;90,17;5,04
2012-08-06;;0,28;2,63;9,54;;74,25;3,79
2012-08-07;;0,23;2,43;11,48;;76,08;2,1
2012-08-08;;0,23;1,92;13,21;;83,58;
2012-08-09;;0,25;3,42;22,17;;83,54;2,44
2012-08-10;;0,26;2,58;21,21;;82,21;2,79
2012-08-11;;0,24;1,88;17,71;;100,33;3,5
2012-08-12;;0,24;1,04;11,63;;77,05;3,88
2012-08-13;;0,24;2,17;8,5;;79,0;4,63
2012-08-14;;0,24;1,96;5,71;;71,67;5,46
2012-08-15;;0,25;1,5;7,08;;47,56;4,42
2012-08-16;;0,28;3,21;12,29;;98,46;5,21
2012-08-17;;0,3;5,73;18,59;;69,83;5,79
2012-08-18;;0,29;4,21;21,88;;66,92;5,67
2012-08-19;;0,3;3,71;23,83;;69,17;6,0
2012-08-20;;0,31;3,92;23,5;;79,25;7,08
2012-08-21;;0,29;3,59;18,0;;81,68;6,21
2012-08-22;;0,3;5,42;24,63;;87,92;6,2
2012-08-23;;0,29;5,83;27,25;;88,71;1,46
2012-08-24;;0,32;3,5;18,17;;94,63;1,13
2012-08-25;;0,3;2,38;11,63;;98,25;1,0
2012-08-26;;0,23;1,96;3,88;;94,08;1,0
2012-08-27;;0,28;2,5;9,23;;72,3;1,27
2012-08-28;;0,25;2,21;6,92;;69,88;1,04
2012-08-29;;0,27;2,46;10,71;;76,55;1,13
2012-08-30;;0,27;3,13;21,0;;48,29;1,0
2012-08-31;;0,21;2,0;9,96;;71,71;1,21
2012-09-01;;0,21;1,0;9,5;;85,83;1,08
2012-09-02;;0,2;1,17;10,33;;90,25;1,17
2012-09-03;;0,23;2,17;17,92;;93,17;1,42
2012-09-04;;0,25;3,54;17,08;;96,79;1,96
2012-09-05;;0,22;2,5;10,13;;96,5;2,29
2012-09-06;;0,29;5,25;20,96;;87,38;1,1
2012-09-07;;0,29;2,83;17,25;;110,96;1,92
2012-09-08;;0,31;2,63;11,46;;90,25;1,5
2012-09-09;;0,3;2,0;8,0;;98,79;1,38
2012-09-10;;0,29;2,83;11,67;;79,96;1,42
2012-09-11;;0,25;2,25;6,96;;76,25;1,33
2012-09-12;;0,24;3,83;13,0;;78,08;2,71
2012-09-13;;0,22;5,39;14,52;;66,26;2,13
2012-09-14;;0,22;5,71;15,5;;67,96;1,58
2012-09-15;;0,3;4,6;26,8;;55,67;1,5
2012-09-16;;0,3;4,29;13,58;;76,63;3,58
2012-09-17;;0,32;6,04;17,63;;60,38;3,26
2012-09-18;;0,34;8,13;24,38;;48,46;3,29
2012-09-19;;0,32;6,88;24,13;;44,22;3,67
2012-09-20;;0,3;6,25;15,96;;45,87;2,29
2012-09-21;;0,33;8,75;17,63;;51,63;2,58
2012-09-22;;0,28;4,21;12,17;;65,79;3,08
2012-09-23;;0,28;3,08;6,79;;74,17;2,83
2012-09-24;;0,22;3,08;3,75;;89,67;2,75
2012-09-25;;0,26;9,68;21,32;;69,4;3,92
2012-09-26;;0,3;10,88;25,96;;53,08;3,54
2012-09-27;;0,26;5,5;21,96;;52,92;3,5
2012-09-28;;0,27;5,42;24,13;;55,46;2,79
2012-09-29;;0,27;4,38;22,63;;55,38;2,92
2012-09-30;;0,27;3,58;8,67;;61,13;2,29
2012-10-01;;0,28;4,58;15,04;;62,75;2,43
2012-10-02;;0,29;4,42;17,38;;66,38;2,42
2012-10-03;;0,34;6,29;23,83;;60,13;3,0
2012-10-04;;0,37;13,04;20,04;;57,0;3,38
2012-10-05;;0,35;7,0;23,17;;46,08;3,46
2012-10-06;;0,3;4,79;16,75;;47,88;4,13
2012-10-07;;0,3;4,54;13,0;;63,92;3,83
2012-10-08;;0,34;7,76;22,86;;53,71;3,48
2012-10-09;;0,37;14,13;24,17;;46,0;5,25
2012-10-10;;0,32;7,17;21,25;;41,29;5,0
2012-10-11;;0,35;11,77;22,18;;25,59;3,26
2012-10-12;;0,3;6,75;18,21;;29,17;1,0
2012-10-13;;0,27;5,83;12,33;;40,0;1,0
2012-10-14;;0,26;5,75;11,08;;58,54;1,33
2012-10-15;;0,23;3,63;10,67;;55,17;1,13
2012-10-16;;0,23;7,63;17,54;;59,04;1,05
2012-10-17;;0,36;13,83;31,92;;46,38;2,13
2012-10-18;;0,34;5,71;25,21;;61,04;1,38
2012-10-19;;0,34;12,29;33,17;;42,5;1,88
2012-10-20;;0,32;5,79;18,33;;40,58;1,79
2012-10-21;;0,26;4,04;10,33;;67,33;1,96
2012-10-22;;0,26;6,57;22,19;;48,82;2,14
2012-10-23;;0,26;12,79;22,54;;34,43;2,0
2012-10-24;;0,26;9,32;20,5;;43,05;2,23
2012-10-25;;0,34;16,74;43,83;;20,74;3,48
2012-10-26;;0,29;7,29;17,07;;51,13;1,86
2012-10-27;;0,25;4,67;9,71;;52,08;2,63
2012-10-28;;0,21;1,75;4,46;;72,17;1,54
2012-10-29;;0,3;12,3;26,48;;48,33;1,91
2012-10-30;;0,29;6,92;32,54;;34,71;2,63
2012-10-31;;0,29;8,63;19,83;;53,25;3,17
2012-11-01;;0,3;4,5;17,13;;49,0;2,54
2012-11-02;;0,26;8,39;15,61;;57,78;2,09
2012-11-03;;0,42;19,54;38,29;;28,33;3,25
2012-11-04;;0,35;6,79;22,88;;29,08;2,88
2012-11-05;;0,29;5,65;16,13;;49,48;2,0
2012-11-06;;0,3;8,46;20,83;;39,5;1,46
2012-11-07;;0,36;13,63;32,79;;25,63;1,75
2012-11-08;;0,43;24,83;33,29;;29,5;2,54
2012-11-09;;0,46;32,67;46,83;;15,5;3,75
2012-11-10;;0,39;11,17;28,33;;25,92;3,29
2012-11-11;;0,31;4,7;15,1;;34,4;3,0
2012-11-12;;0,26;7,5;17,57;;19,14;1,75
2012-11-13;;0,21;5,55;17,95;;41,94;1,23
2012-11-14;;0,23;4,46;14,46;;51,92;1,0
2012-11-15;;0,27;9,88;26,08;;37,96;2,04
2012-11-16;;0,32;17,47;20,47;;35,41;2,12
2012-11-17;;0,38;10,19;35,81;;40,2;2,07
2012-11-18;;0,29;4,25;10,75;;63,04;2,5
2012-11-19;;0,31;8,58;16,92;;37,33;2,5
2012-11-20;;0,43;26,46;32,71;;20,0;3,75
2012-11-21;;0,49;36,41;35,24;;8,31;5,35
2012-11-22;;0,4;15,78;37,11;;28,8;2,43
2012-11-23;;0,49;33,25;37,25;;23,63;4,63
2012-11-24;;0,43;16,46;26,58;;36,21;3,88
2012-11-25;;0,44;10,75;28,46;;28,83;4,04
2012-11-26;;0,45;24,29;25,63;;39,63;3,3
2012-11-27;;0,3;6,25;17,58;;42,13;1,63
2012-11-28;;0,32;6,42;17,08;;43,71;2,25
2012-11-29;;0,25;1,83;6,92;;59,79;1,5
2012-11-30;;0,29;9,47;23,18;;50,88;2,12
2012-12-03;;0,62;41,82;39,0;;27,06;4,71
2012-12-04;;0,33;4,91;15,27;;55,95;3,55
2012-12-05;;0,34;8,54;17,96;;58,25;2,5
2012-12-06;;0,38;6,83;20,5;;48,08;2,38
2012-12-07;;0,5;32,96;39,38;;25,92;4,29
2012-12-08;;0,38;5,21;22,67;;45,54;2,71
2012-12-09;;0,37;5,0;21,13;;40,46;2,08
2012-12-10;;0,4;12,27;24,33;;35,94;2,94
2012-12-11;;0,43;23,73;40,47;;19,8;3,86
2012-12-12;;0,5;17,58;37,54;;12,88;4,38
2012-12-13;;0,48;19,79;22,96;;33,92;4,96
2012-12-14;;0,5;33,13;33,83;;25,46;6,75
2012-12-15;;0,36;7,38;11,13;;60,25;3,96
2012-12-16;;0,38;9,96;16,46;;51,0;3,88
2012-12-17;;0,36;7,83;12,83;;43,83;4,06
2012-12-18;;0,32;8,44;11,33;;46,33;2,14
2012-12-19;;0,56;37,14;39,36;;7,57;3,29
