"","date","nox","no","no2","h2s","pm10","co","so2","o3","hcnm","hct","wd","ws"
"1",2009-05-20 00:00:00,NA,3,54,1.5,NA,0.4,1,24,NA,NA,150.115831759774,2.97241379310345
"2",2009-05-21 00:00:00,NA,13,88,1.5,NA,0.6,2,1,NA,NA,144.099999077319,2.75208333333333
"3",2009-05-22 00:00:00,NA,31,79,2.9,NA,0.5,3,1,NA,NA,164.896598927403,2.02916666666667
"4",2009-05-23 00:00:00,NA,3,62,1.8,NA,0.4,1,20,NA,NA,148.936287500754,2.29166666666667
"5",2009-05-24 00:00:00,NA,17,73,1,NA,0.4,1,2,NA,NA,166.62866450821,2.5625
"6",2009-05-25 00:00:00,NA,4,44,1,NA,0.2,1,17,NA,NA,162.461087929184,2.65208333333333
"7",2009-05-26 00:00:00,NA,5,24,1,NA,0.4,1,49,NA,NA,138.409198136849,2.63333333333333
"8",2009-05-27 00:00:00,NA,10,62,1,NA,0.2,1,9,NA,NA,262.904152312453,2.39375
"9",2009-05-28 00:00:00,NA,10,77,1,NA,0.2,1,7,NA,NA,255.020020162228,3.05625
"10",2009-05-29 00:00:00,NA,36,76,1,NA,0.4,2,1,NA,NA,168.847409669996,2.99583333333333
"11",2009-05-30 00:00:00,NA,3,61,1,NA,0.2,1,31,NA,NA,201.117529552913,2.92708333333333
"12",2009-05-31 00:00:00,NA,5,62,1,NA,0.2,1,18,NA,NA,128.619126987918,2.21875
"13",2009-06-01 00:00:00,NA,2,52,1,NA,0.2,1,33,NA,NA,202.691751236071,2.82708333333333
"14",2009-06-02 00:00:00,NA,3,81,1,NA,0.3,1,15,NA,NA,160.176199948518,3.21875
"15",2009-06-03 00:00:00,NA,1,20,1,NA,0.2,1,72,NA,NA,283.246784050463,2.4875
"16",2009-06-04 00:00:00,NA,4,56,1,NA,0.4,1,29,NA,NA,162.162143792864,2.53958333333333
"17",2009-06-05 00:00:00,NA,3,30,1.7,NA,0.4,1,57,NA,NA,153.49485945556,1.80833333333333
"18",2009-06-06 00:00:00,NA,6,44,1.9,NA,0.5,1,40,NA,NA,297.56760574526,2.45625
"19",2009-06-07 00:00:00,NA,8,59,1.1,NA,0.4,1,11,NA,NA,183.97380069145,2.36875
"20",2009-06-08 00:00:00,NA,1,20,1,NA,0.2,1,79,NA,NA,197.214976781332,2.13125
"21",2009-06-09 00:00:00,NA,1,15,1,NA,0.4,1,87,NA,NA,306.677535319078,2.68541666666667
"22",2009-06-10 00:00:00,NA,1,23,1,NA,0.2,1,81,NA,NA,215.108792047587,2.51666666666667
"23",2009-06-11 00:00:00,NA,7,48,1,NA,0.2,3,23,NA,NA,154.3678727744,3.16666666666667
"24",2009-06-12 00:00:00,NA,10,63,2.4,NA,0.3,1,6,NA,NA,166.039426657704,3.25416666666667
"25",2009-06-13 00:00:00,NA,2,41,2.7,NA,0.2,1,44,NA,NA,295.797005955248,2.55208333333333
"26",2009-06-14 00:00:00,NA,9,83,3.9,NA,0.3,4,10,NA,NA,172.094073824275,2.70208333333333
"27",2009-06-15 00:00:00,NA,1,18,1.9,NA,0.2,1,55,NA,NA,149.370938724263,2.36666666666667
"28",2009-06-16 00:00:00,NA,10,67,2.3,NA,0.2,1,11,NA,NA,184.54018215088,2.375
"29",2009-06-17 00:00:00,NA,12,84,3.2,NA,0.3,2,9,NA,NA,178.313365746134,2.63958333333333
"30",2009-06-18 00:00:00,NA,30,88,4.5,NA,0.3,2,4,NA,NA,178.517364334641,2.45833333333333
"31",2009-06-19 00:00:00,NA,3,45,6.1,NA,0.2,3,69,NA,NA,172.690511333712,2.54583333333333
"32",2009-06-20 00:00:00,NA,2,15,2.9,NA,0.2,1,61,NA,NA,207.213667908129,3.03541666666667
"33",2009-06-21 00:00:00,NA,28,94,2.3,NA,0.3,2,13,NA,NA,210.469084435249,2.90416666666667
"34",2009-06-22 00:00:00,NA,4,60,2.7,NA,0.4,1,24,NA,NA,171.51153301898,2.93333333333333
"35",2009-06-23 00:00:00,NA,3,19,4.5,NA,0.2,1,71,NA,NA,209.824953290002,2.27708333333333
"36",2009-06-24 00:00:00,NA,2,40,3.8,NA,0.2,1,34,NA,NA,214.82254366864,1.99375
"37",2009-06-25 00:00:00,NA,1,16,2.8,NA,0.2,1,61,NA,NA,174.704006902094,2.77916666666667
"38",2009-06-26 00:00:00,NA,7,64,1.9,NA,0.8,1,26,NA,NA,180.196272418912,2.93958333333333
"39",2009-06-27 00:00:00,NA,1,37,2.2,NA,0.2,1,47,NA,NA,240.700992703678,2.91458333333333
"40",2009-06-28 00:00:00,NA,2,33,3.2,NA,0.2,1,29,NA,NA,182.844119783759,2.49791666666667
"41",2009-06-29 00:00:00,NA,8,69,2.3,NA,0.2,1,8,NA,NA,178.477712418588,2.53125
"42",2009-06-30 00:00:00,NA,1,29,4.2,NA,NA,1,63,NA,NA,213.344469039413,2.98958333333333
"43",2009-07-01 00:00:00,NA,1,41,3,NA,0.3,1,77,NA,NA,180.137567605252,2.83958333333333
"44",2009-07-02 00:00:00,NA,2,65,2.4,NA,0.4,1,46,NA,NA,144.774023170188,2.75
"45",2009-07-03 00:00:00,NA,3,78,2.6,NA,0.2,1,20,NA,NA,169.99449222002,2.79791666666667
"46",2009-07-04 00:00:00,NA,2,53,2.8,NA,0.4,1,48,NA,NA,176.970865929389,2.76041666666667
"47",2009-07-05 00:00:00,NA,1,29,2,NA,0.2,1,50,NA,NA,165.06564611128,2.97916666666667
"48",2009-07-06 00:00:00,NA,3,47,1.5,NA,1.6,1,33,NA,NA,172.103013926276,2.68125
"49",2009-07-07 00:00:00,NA,1,19,1.1,NA,0.2,1,53,NA,NA,188.571322393251,2.63958333333333
"50",2009-07-08 00:00:00,NA,14,48,1.2,NA,0.2,1,1,NA,NA,316.997195471142,1.38125
"51",2009-07-09 00:00:00,NA,18,57,2.3,NA,0.5,1,1,NA,NA,96.9726803583773,1.275
"52",2009-07-10 00:00:00,NA,3,54,1,NA,0.2,1,15,NA,NA,154.428389400876,2.55625
"53",2009-07-11 00:00:00,NA,7,41,1.5,NA,0.3,1,3,NA,NA,159.498508659892,2.2625
"54",2009-07-12 00:00:00,NA,13,43,1.2,NA,0.2,1,6,NA,NA,223.328883681439,2.19791666666667
"55",2009-07-13 00:00:00,NA,16,67,1.5,NA,NA,1,2,NA,NA,166.987066730315,2.20833333333333
"56",2009-07-14 00:00:00,NA,2,33,1.1,NA,0.5,1,30,NA,NA,148.250164349737,2.73125
"57",2009-07-15 00:00:00,NA,12,56,1.4,NA,3.8,1,2,NA,NA,172.43958300656,2.46666666666667
"58",2009-07-16 00:00:00,NA,1,10,1.4,NA,0.2,1,51,NA,NA,172.417307980127,2.8125
"59",2009-07-17 00:00:00,NA,1,8,1,NA,0.3,1,58,NA,NA,223.993993830627,3.30208333333333
"60",2009-07-18 00:00:00,NA,3,44,1.1,NA,0.9,1,26,NA,NA,227.250681953202,3.13333333333333
"61",2009-07-19 00:00:00,NA,4,41,1.3,NA,0.4,1,23,NA,NA,186.915371778313,2.10625
